name_7449#0,"""시오지"""
ssn_015510_0001#0,"""어이!<br>장비는 소중히 여기고 있나!"""
ssn_015510_0002#0,"""아무리 실력있는 아크스라도,<br>장비가 빈약하면 제대로 싸울 수 없다."""
ssn_015510_0003#0,"""소중한 파트너라 생각하고<br>소중하게 대해줘."""
ssn_015510_0101#0,"""마침 잘 왔어."""
ssn_015510_0102#0,"""나는 이 스티아에서<br>장비 연구를 하고있는 시오지다."""
ssn_015510_0103#0,"""너에게 급히 하고싶은 상담이 있는데,<br>들어주지 않을래?"""
ssn_015510_0201#0,"""\""헥스카이트\""라고 하는 광석의 데이터를<br>가져다 줬으면 좋겠어."""
ssn_015510_0202#0,"""메디오라 외곽 제2구에서 채취할 수 있다는 얘기야.<br>잘 부탁할게."""
ssn_015510_0301#0,"""뭐야, 바쁜건가.<br>한가해졌을 때 다시 말을 걸어줘."""
ssn_015510_0401#0,"""돌아왔구나!<br>그럼 데이터를 뽑아보도록 할게."""
ssn_015510_0402#0,"""……흠흠. 그렇군."""
ssn_015510_0403#0,"""역시 에아리오의 광석과는<br>구조가 상당히 다르구만."""
ssn_015510_0404#0,"""이거라면,<br>새로운 장비의 조정도 견딜 수 있을 것 같군."""
ssn_015510_0405#0,"""즉시 기술부에게도 전달해<br>장비 개량에 사용하도록 하자."""
ssn_015510_0406#0,"""스티아에는 이용할 만한 광석이<br>아직 있을지도 모르겠네."""
ssn_015510_0407#0,"""크으! 연구자의 영혼이<br>근질근질하구만!"""
ssn_015510_0408#0,"""네 덕분에<br>귀중한 데이터를 얻었어."""
ssn_015510_0409#0,"""고마워.<br>또 무슨 일이 있을 때 부탁을 좀 들어줘."""
ssn_015510_1001#0,"""このスティアじゃ、<br>毎日が戦いの連続だ。"""
ssn_015510_1002#0,"""装備を万全の状態にしておかなきゃ、<br>命がいくつあっても足りやしないぜ。"""
ssn_015510_1101#0,"""어이!<br>前の戦いじゃ、大活躍だったそうだな。"""
ssn_015510_1102#0,"""その実力を見込んで、<br>また、あんたに頼みたいことがあるんだ。"""
ssn_015510_1103#0,"""話を들어주지 않을래?"""
ssn_015510_1201#0,"""\""インフェリウム\""が採れるのは、<br>メディオラ外郭第１区だ。"""
ssn_015510_1202#0,"""見つかるかどうかは、<br>天候によるって噂もある。"""
ssn_015510_1203#0,"""大変な依頼だが、あんたなら、<br>上手くやってくれると信じているぜ。"""
ssn_015510_1301#0,"""そうか……。<br>気が向いたらまた来てくれよ！"""
ssn_015510_1401#0,"""おう、戻ったか。<br>さっそくデータをとらせてくれ。"""
ssn_015510_1402#0,"""……ふぅむ、こいつが\""インフェリウム\""か。<br>噂に聞いた以上の見事な鉱石だ！"""
ssn_015510_1403#0,"""強度もあるし、<br>それでいて加工もしやすそうだ。"""
ssn_015510_1404#0,"""……ああ、見てるだけで、<br>いろんなアイディアが浮かんでくる。"""
ssn_015510_1405#0,"""こいつを使えば、<br>すごいものが作れるに違いない。"""
ssn_015510_1406#0,"""久し振りに、研究者魂に火がついたぜ！<br>今から楽しみだな！"""
ssn_015510_1407#0,"""技術部のやつらも、<br>こいつには驚くだろうな。"""
ssn_015510_1408#0,"""ありがとよ。<br>本当に助かったぜ。"""
ssn_015510_1501#0,"""新しい鉱石との出会いが、<br>装備をさらに進化させる。"""
ssn_015510_1502#0,"""スティアの鉱石で、それが叶うと思うと、<br>年甲斐もなくワクワクしちまうな。"""
ssn_015510_1503#0,"""生活するには大変な場所だが、<br>ここに来てよかったと、心から思えるぜ。"""
