name_7418#0,"""Bergmann"""
ssn_013090_0001#0,"""Hey, it's you. How's it going?"""
ssn_013090_0002#0,"""Thanks again for getting me that data earlier."""
ssn_013090_0101#0,"""Yo. You, uh, you got some time to spare?"""
ssn_013090_0102#0,"""I was thinking of asking you to do me another favor."""
ssn_013090_0201#0,"""I see... Well, come talk to me when you have some time, okay?"""
ssn_013090_0301#0,"""Now that you've gone to the mountain and the ocean I was thinking of where you could go next."""
ssn_013090_0302#0,"""Then I realized, \""Oh yeah, the wetlands are pretty close by.\"" Almost forgot about that."""
ssn_013090_0303#0,"""It's a tranquil place, but trying to fight in knee-high water doesn't really make for fond memories, to be honest..."""
ssn_013090_0304#0,"""But I still wanna visit the place again, if only for the nostalgia."""
ssn_013090_0305#0,"""Do you think you could go there and bring me back some data?"""
ssn_013090_0306#0,"""Don't go out of your way if you're swamped, just if you're ever in the area. Thanks."""
