name_7418#0,"""Bergmann"""
ssn_012100_0001#0,"""โอ้ไง เธอเองเหรอ"""
ssn_012100_0002#0,"""ฉันเก็บรักษาข้อมูลที่เธอให้มาอย่างดีเลยล่ะ"""
ssn_012100_0101#0,"""อา มาได้จังหวะพอดีเลย พอจะมีเวลาสักครู่ไหม?"""
ssn_012100_0102#0,"""ฉันมีเรื่องอยากจะขอร้องอีกสักเรื่อง หวังว่าเธอคงช่วยฉันได้นะ"""
ssn_012100_0050#0,"""คือว่า ยังจำข้อมูลภูเขาที่เธอหามาให้ฉันคราวก่อนได้ไหม?"""
ssn_012100_0060#0,"""ฉันแอบดูมันอยู่บ่อยๆ ทุกครั้งที่มีโอกาสเลย แล้วมันก็ทำให้ความทรงจำเก่าๆ พรั่งพรูออกมาเต็มไปหมด"""
ssn_012100_0070#0,"""ที่ฉันจะบอกก็คือ ฉันอยากจะเห็นวิวทะเลจากมุมสูงบ้างน่ะ"""
ssn_012100_0080#0,"""แน่นอนล่ะว่าฉันผ่านการต่อสู้ที่นั่นมาเยอะ แต่ก็ยังมีอย่างอื่นด้วยนะ อย่างการว่ายน้ำกับเพื่อนๆ หรือก่อปราสาททรายรูป Central City..."""
ssn_012100_0090#0,"""ฉันยังคงติดอยู่ที่นี่ เพราะงั้นช่วยส่งข้อมูลจากสถานที่นี้มาให้ฉันหน่อยได้ไหม?"""
ssn_012100_0100#0,"""แวะไปตอนที่เธอทำอย่างอื่นอยู่ก็ได้นะ ถ้าไม่มีเธอฉันคงแย่แน่ๆ"""
ssn_012100_0201#0,"""อ้อ เข้าใจแล้วล่ะ...<br>เอาเป็นว่าถ้าวันไหนเธออยากหาเส้นทางใหม่ๆ ลุย ก็บอกฉันได้เลยนะ"""
