name_7418#0,"""Bergmann"""
ssn_011100_0001#0,"""Central City นี่สุดยอดไปเลยว่าไหม?"""
ssn_011100_0002#0,"""ถ้าวันไหนอากาศดีๆ ลองขึ้นไปบนกำแพงดูสิ วิวสวยมากเลยนะ"""
ssn_011100_0101#0,"""ว่าแต่ พอมีเวลาไหม? มีเรื่องอยากจะขอร้องหน่อยน่ะ"""
ssn_011100_0102#0,"""รู้ใช่ไหมว่าเขต Aelio มีภูเขาเยอะแยะเต็มไปหมด? เมื่อก่อนฉันเคยปีนมันอยู่บ่อยๆ เลยล่ะ"""
ssn_011100_0103#0,"""ฉันเคยเป็น ARKS แนวหน้า ต่อสู้กับพวก DOLLS วันแล้ววันเล่า แต่บาดแผลที่ได้รับมันก็สาหัสเอาเรื่อง..."""
ssn_011100_0104#0,"""สุดท้ายตอนนี้เลยต้องมาติดแหง็กอยู่บนที่ราบ ทำงานอยู่ในเมืองแบบนี้นี่แหละ"""
ssn_011100_0105#0,"""ด้วยเหตุผลอะไรก็ไม่รู้ ช่วงนี้งานฉันกองเป็นภูเขาเลยล่ะ เลยไม่มีโอกาสได้ออกไปข้างนอกอีกเลย"""
ssn_011100_0106#0,"""ฉันมาลองคิดดูว่าถ้ามีเวลาว่างอยากจะไปที่ไหนดี ฉันอยากไปในที่ที่เคยไปตอนที่ร่างกายยังฟิตปั๋งอยู่น่ะ"""
ssn_011100_0107#0,"""ปกติเธอต้องเดินทางไปทั่วเพื่อทำภารกิจอยู่แล้วใช่ไหม? ช่วยปีนภูเขาลูกนี้แล้วส่งข้อมูลทิวทัศน์มาให้ฉันทีสิ เอาเท่าที่ทำได้เลยนะ"""
ssn_011100_0108#0,"""ไม่ต้องรีบร้อนหรอกนะ เอาไว้ตอนที่เธอมีเวลาก็พอ"""
ssn_011100_0201#0,"""เข้าใจแล้ว... เธอก็คงยุ่งเหมือนกัน งั้นเอาไว้คราวหน้าฉันค่อยมาขอร้องใหม่ก็แล้วกัน"""
