name_7418#0,"""Bergmann"""
ssn_014160_0001#0,"""ไง เธอเองเหรอ เป็นยังไงบ้าง?"""
ssn_014160_0002#0,"""ข้อมูลที่เธอหามาให้ฉันมันมีประโยชน์มากเลยล่ะ"""
ssn_014160_0101#0,"""โย่ พอมีเวลาไหม?"""
ssn_014160_0102#0,"""เดาถูกแล้วล่ะ ฉันมีเรื่องจะขอให้ช่วยอีกแล้ว"""
ssn_014160_0103#0,"""เธอนี่สุดยอดไปเลย! เอาล่ะ ฟังฉันนะ"""
ssn_014160_0104#0,"""พูดตามตรงนะ ฉันดูข้อมูลภาพที่เธอส่งมาให้จนถึงตอนนี้ได้ไม่มีเบื่อเลย"""
ssn_014160_0105#0,"""การได้มองย้อนกลับไปถึงความทรงจำเหล่านั้นมันทำให้ฉันมีแรงฮึดขึ้นมาเลยล่ะ รู้ไหม!"""
ssn_014160_0106#0,"""ช่วงนี้ฉันเลยอยากจะกลับไปเยือนป่าบ้างน่ะ ในเมื่อที่นี่คือ Aelio มันก็ต้องเป็น Resol Forest"""
ssn_014160_0107#0,"""มันอาจจะอันตรายกว่าที่อื่นสักหน่อย แต่ฉันไม่มีทางขอให้เธอไปผิดป่าหรอกน่า ฮ่าๆๆ!"""
ssn_014160_0108#0,"""ฉันไม่ได้ขอให้เธอไปทันทีหรืออะไรหรอกนะ แค่ตอนที่เธอมีเวลาแวะไปก็พอ ฮ่าๆๆ! ใครก็ได้หยุดฉันที!"""
ssn_014160_0109#0,"""ขอบใจอีกครั้งนะ"""
ssn_014160_0201#0,"""เข้าใจล่ะ ไม่มีปัญหา... เอาไว้ถ้าเธอมีเวลาว่างเมื่อไหร่ก็บอกฉันแล้วกันนะ"""
