text01001#0,"""Казино - развлекательное<br>заведение ARKS, созданное<br>Компандой по Улучшению Условий<br>Жизни."""
text01002#0,"""Его создали, чтобы дать всем<br>ARKS место, где можно было бы<br>выпустить пар, поскольку тяжко<br>изо дня в день выполнять тяжёлую<br>работу."""
text01003#0,"""Мы здесь, чтобы помочь всем<br>ARKS забыть о своих заботах<br>и расслабиться."""
text01004#0,"""Мы надеемся, что предоставили<br>идеальное место для всех.<br>Не торопитесь и наслаждайтесь."""
text02001#0,"""Казино построили здесь совсем<br>недавно, но..."""
text02002#0,"""Лиллипанцы почему-то всюду<br>оставляют свои граффити."""
text02003#0,"""Меня это не беспокоит, поэтому<br>я просто закрываю на это глаза,<br>но это очень странно."""
text02004#0,"""Они появляются в самых разных<br>местах. Если вам интересно,<br>почему бы не поискать<br>их где-нибудь?"""
text03001#0,"""Награды казино постоянно<br>обновляются."""
text03002#0,"""Только оттуда можно получить<br>много ценных вещей."""
text03003#0,"""Если не хотите пропустить их,<br>обязательно проверяйте список<br>призов у сотрудника по выдаче<br>призов."""
