battletrigger_use_check_title#0,"""Yellow Portal"""
battletrigger_use_check_message#0,"""El [$(0)] de tu inventario está brillando.<br>¿Quieres colocarlo en el pedestal? <br><br>※Activa el pedestal y completa la tarea:<br>Activa el pedestal y completa la Tarea: \""$(0)\""<br>aceptando la mision."""
battletrigger_used_message#0,"""Un pedestal cercano ha sido activado por otro ARKS."""
CodeKey_w1_r1_1#0,"""Purple Portal: Aerio"""
CodeKey_w1_r1_3#0,"""Yellow Portal: Aerio"""
CodeKey_w1_r2_1#0,"""パープルポータル：リテム"""
CodeKey_w1_r2_3#0,"""イエローポータル：リテム"""
battletrigger_error1_title#0,"""<オブジェクト名を代入>"""
battletrigger_error2_title#0,"""<オブジェクト名を代入>"""
battletrigger_error_message_CodeKey_w1_r1_1#0,"""Una instalación especial a la que se puede<br>acceder colocando un Activador de Batalla (Battle Trigger).<br><br>Objeto(s) necesario(s):<br>\u3000B. Trigger/Aerio Purple (x5)<c>"""
battletrigger_error_message_CodeKey_w1_r1_3#0,"""Una instalación especial a la que se puede<br>acceder colocando un Activador de Batalla (Battle Trigger).<br><br>Objeto(s) necesario(s)<br>\u3000B. Trigger/Aerio Yellow (x5)<c>"""
battletrigger_error_message_CodeKey_w1_r2_1#0,"""バトルトリガーをセットすることで<br>アクセス可能になる特殊な訓練設備。<br><br><yellow>※必要アイテム：<br>\u3000Bトリガー/リテナパープル（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r2_3#0,"""バトルトリガーをセットすることで<br>アクセス可能になる特殊な訓練設備。<br><br><yellow>※必要アイテム：<br>\u3000Bトリガー/リテナイエロー（×5）<c>"""
