NpcComMsg1#0,"""Мы вновь перенесём вас к<br>воскресшему злому дракону."""
NpcComMsg2#0,"""Мы заметили разницу в энергии по<br>сравнению с последней схваткой,<br>поэтому мы ожидаем, что он<br>будет вести жестокий бой.<br>Пожалуйста, обращайте внимание<br>на его движения и атаки."""
NpcComMsg3#0,"""Алиса поддержит нас ещё раз!<br>С вашей силой мы уверены, что<br>вы сможете победить!"""
Title#0,"""T: Тёмный разрушитель"""
Explanation#0,"""Мы обнаружили сильный источник энергии<br>внутри замка Куэнт! Пожалуйста,<br>отправляйтесь туда и помогите Алисе!<br>Поскольку эта операция будет опасной,<br>могут помочь только конкретные ARKS.<br>――――――――――――――――――――<br>Лимит прохождения: 1 раз<br>Лимит урона: 999999<br>Условие поражения: время истекло<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000 3 смерти"""
SimpleExplanation#0,"""Победите дракона!"""
Area0S#0,"""Омега - Руины замка Куэнт"""
Area0L#0,"""Омега - Руины замка Куэнт"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
TargetExplanation#0,"""Задача квеста [Победить дракона!]<br><br><c f0df60>Квест провалится, если <c f0df60>общее число смертей <c ff2020>достигнет 3<c>."""
TargetExplanation#0,"""クエスト目標「ドラゴンを撃退せよ！」<br><br><c f0df60>制限時間の経過でクエスト失敗<c>"""
