name_7405#0,"""Schraft """
ssn_015201_0001#0,"""เอาล่ะ ขอฉันอธิบายหน่อยนะ"""
ssn_015201_0002#0,"""รู้จัก 'Battledia' ไหม?"""
ssn_015201_0003#0,"""มันคือรูปแบบการฝึกฝนพิเศษที่เน้นไปที่การกำจัดศัตรูน่ะ"""
ssn_015201_0004#0,"""สามารถเข้าไปได้โดยการตรวจสอบ 'Portal' ในแต่ละภูมิภาค"""
ssn_015201_0010#0,"""สามารถเข้าไปท้าทายได้โดยการตรวจสอบ 'Portal' ในแต่ละภูมิภาค"""
ssn_015201_0005#0,"""แต่ว่านะ การจะเปิดใช้งานได้ ต้องใช้ Battle Triggers ด้วย"""
ssn_015201_0011#0,"""แต่ว่านะ การจะเปิดใช้งานได้ ต้องใช้ Battle Triggers ด้วย"""
ssn_015201_0006#0,"""ก่อนอื่น ให้ไปที่ Aelio แล้วลองท้าทาย Yellow Battledia ของภูมิภาคนั้นดู"""
ssn_015201_0007#0,"""ฉันจะให้ Battle Triggers ของฉันไปให้ จะได้ลองดูได้"""
ssn_015201_0008#0,"""Yellow Portal ของ Aelio อยู่ใน Western Aelio ทีนี้ก็ไปแสดงฝีมือให้ฉันดูหน่อยสิ!"""
ssn_015201_0012#0,"""Yellow Portal ของ Aelio อยู่ใน Western Aelio ทีนี้ก็ไปแสดงฝีมือให้ฉันดูหน่อยสิ!"""
ssn_015201_0009#0,"""ได้รับ Battle Trigger/Yellow x5"""
