name_7405#0,"""Schraft"""
ssn_015200_0001#0,"""นายตรงนั้นน่ะ! แววตาดีใช้ได้เลยนี่ เป็นแววตาของนักรบ ARKS จริงๆ"""
ssn_015200_0003#0,"""นายตรงนั้นน่ะ! แววตาดีใช้ได้เลยนี่ เป็นแววตาของนักรบ ARKS จริงๆ"""
ssn_015200_0002#0,"""ฉันมีเรื่องจะสอน แต่ก่อนอื่นนายควรโฟกัสไปที่การเพิ่มความแข็งแกร่งของตัวเองก่อนนะ"""
ssn_015200_0101#0,"""เฮ้ อยู่นี่เอง ฉันรอนายอยู่เลย"""
ssn_015200_0104#0,"""เฮ้ อยู่นี่เอง ฉันรอนายอยู่เลย"""
ssn_015200_0102#0,"""ฉันมีเรื่องเกี่ยวกับการต่อสู้ในฐานะ ARKS จะสอนน่ะ พอมีเวลาไหม?"""
ssn_015200_0105#0,"""ฉันมีเรื่องเกี่ยวกับการต่อสู้ในฐานะ ARKS จะสอนน่ะ พอมีเวลาไหม?"""
ssn_015200_0103#0,"""ถ้าสนใจก็ลองฟังดูสิ"""
ssn_015200_0201#0,"""Battle Triggers ที่ฉันให้ไปเอาไว้ใช้สำหรับ Yellow Portal ใน Aelio นะ"""
ssn_015200_0202#0,"""Yellow Portal ของ Aelio อยู่ใน Western Aelio ทีนี้ก็ไปแสดงฝีมือให้ฉันดูหน่อยสิ!"""
ssn_015200_0301#0,"""ฉันจะรออยู่ที่นี่นะ!"""
ssn_015200_0401#0,"""อย่าลืมที่ฉันสอนไปล่ะ!"""
ssn_015200_0402#0,"""จงขยันหมั่นเพียรเข้าไว้!"""
