name_7405#0,"""Schraft"""
ssn_015220_0001#0,"""Good, seems like you're up to it! Alright, let me explain."""
ssn_015220_0002#0,"""Have you heard of the Ordinal Tower? It's one of the Advanced Trainia."""
ssn_015220_0003#0,"""Advanced Trainia are, quite literally, a more advanced form of Trainia."""
ssn_015220_0004#0,"""The exact nature of the training is different for each facility."""
ssn_015220_0005#0,"""And the Ordinal Tower stands alone amongst them."""
ssn_015220_0006#0,"""Not only does it include the usual Trainia environment, it also recreates environments from all across Halpha."""
ssn_015220_0007#0,"""You'll face powerful enemies in there."""
ssn_015220_0008#0,"""And you'll have to work fast to make sure you finish on time."""
ssn_015220_0009#0,"""Put simply, your skills as an ARKS will be put to the test."""
ssn_015220_0010#0,"""Get your gear together and give it a try!"""
