Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn9 /ci2 3 급한 임무가 있는 관계로<br>신속하게 적을 정리하고 싶군.<br>수고스럽겠지만, 협력을 부탁하네."""
Success#1,"""/mn15 /ci2 2 t5 쟝, 옛날 이야기는 거기까지다.<br>임무가 아직 남아 있으니.<br>그대들의 신속한 구호 활동에 감사하도록 하지."""
Failure#1,"""/mn4 ……칫, 더 이상은 어려운가.<br>임무 달성이 최우선 사항이다.<br>쟝, 우리는 철수하도록 하지!"""
Dead#1,"""/mn3 이 정도의 교전으로 무릎을 굽히게<br>될 줄이야……나 또한 쇠약해졌군."""
BuddyDead#1,"""/mn20 /ci3 2 쟝이 당해버렸는가……<br>뭐어, 세월엔 장사 없는 게로군.<br>잠시 쉬고 있도록."""
