EnemyWeak#0,"""단숨에 쓸어 버린다"""
EnemyLarge#0,"""제법 크군"""
EnemyBoss#0,"""강적 등장, 이란 건가"""
EnemyRare#0,"""흐음, 희귀한 에너미군"""
EnemyBoost#0,"""조심해라.<br>지금까지와는 다르다"""
DestroyEnemy1#0,"""다음."""
DestroyEnemy2#0,"""끝났네."""
DestroyEnemy3#0,"""처치했다"""
CondFreeze#0,"""칫, 동결인가…!"""
CondBurn#0,"""큭, 연소 상태인가……!"""
CondShock#0,"""몸이 저려 와……!"""
CondPoison#0,"""독이 퍼지고 있나……!"""
CondPanic#0,"""으음……생각이 정리되지 않는군……"""
CondStan#0,"""몸이 움직이지 않는군……!"""
CondMirage#0,"""시각 방해인가……!"""
Die#0,"""미숙한 건 나 자신인가……"""
ThankHeal#0,"""미안하군"""
ThankBuff#0,"""살았다"""
ThankCure#0,"""좋아, 이걸로 괜찮다"""
DefeatEnemy#0,"""자, 다음으로 나아가자"""
LevelUp#0,"""축하한다!"""
InvokeSkill1#0,"""날아가라!"""
InvokeSkill2#0,"""마지막 일격이다!"""
InvokeSkill3#0,"""방해하지 마라!"""
TechFire#0,"""불꽃이여!"""
TechIce#0,"""얼음이여!"""
TechThunder#0,"""번개여!"""
TechWind#0,"""바람이여!"""
TechLight#0,"""빛이여!"""
TechDark#0,"""어둠이여!"""
PBFull#0,"""지금부터는 봐주지 않는다!"""
PBRelease#0,"""나와라, 포톤 블래스트!"""
Avoid#0,"""흥!"""
HealSelf#0,"""어림없군"""
BuffSelf#0,"""만전의 태세를 갖춘다"""
HealOther#0,"""방심하지 마라"""
BuffOther#0,"""잠깐, 보조도 필요하다"""
QuestStart1#0,"""파티……오랜만이군"""
QuestEnd1#0,"""훌륭한 결과군"""
IncidentStart#0,"""이 기척……뭔가 온다!"""
IncidentSuccess#0,"""잘된 모양이군"""
IncidentFailure#0,"""미안하다, 내가 미숙했다……"""
PSE#0,"""이 포톤의 활성화……<br>PSE라는 건가!"""
PSELevelUp#0,"""계속 이어 간다!"""
PSEBurst#0,"""이게 PSE 버스트로군……!"""
HP30#0,"""이대로는…"""
HP10#0,"""아직 쓰러질 수는……!"""
ItemRare#0,"""그건 좋은 물건이다."""
DamageSmall#0,"""칫"""
DamageMiddle#0,"""크악!"""
DamageLarge#0,"""이런!"""
Trap#0,"""뭐!\u3000함정이라고!"""
ThankTrapRescue#0,"""살았다!"""
TrapRescueOther#0,"""함정을 조심해라!"""
MemberDamaged#0,"""무리하지 마라!"""
MemberDead#0,"""……너무 우쭐대지 마라!"""
AbilityExe#0,"""지금이라면 적수가 없다!"""
AbilitySpecial#0,"""이 기세를 유지하고 싶군"""
Resurrect#0,"""내가 뿌린 씨는 내가 거둔다!"""
PartyJoin#0,"""/ci2 1 나와 한 팀이 되어 주는 건가"""
Marvelous#0,"""훌륭하다!"""
IncidentJsApcBegin#0,"""/ci2 2 미안하지만 힘을 빌려줘.<br>……몰래 온 거니까<br>이츠키 일행에겐 비밀로 해 줘."""
IncidentJsApcFailure#0,"""미숙함을 핑계 삼고 싶진 않지만……<br>미안하다, 먼저 물러나겠다"""
IncidentJsApcSuccess#0,"""/ci2 2 도와줘서 고맙다.<br>그만 상황이 신경 쓰여서……<br>다들에겐 꼭 비밀로 부탁한다!"""
IncidentJsApcBeginEvo#0,"""/ci2 2 음, 새로운 적인가……!<br>모두가 애먹을 상대일지도 몰라.<br>우리끼리 대처하도록 하지!"""
EnemyWeak#1,"""이 정도 녀석이라면!"""
EnemyLarge#1,"""쳇, 대형인가!"""
EnemyBoss#1,"""상대가 강적이라도!"""
EnemyRare#1,"""오, 희귀한 녀석이잖아!"""
EnemyBoost#1,"""이 녀석……보통이 아니야!"""
DestroyEnemy1#1,"""우선 하나!"""
DestroyEnemy2#1,"""방해하지 마라!"""
DestroyEnemy3#1,"""다음!"""
CondFreeze#1,"""큭……동결인가……!"""
CondBurn#1,"""연소……!?"""
CondShock#1,"""몸이 저려서……!"""
CondPoison#1,"""이런 독 따위에……!"""
CondPanic#1,"""안 돼. 머리가 혼란스러워……"""
CondStan#1,"""큭, 몸이……움직이지 않아……"""
CondMirage#1,"""시야가 이상해……!?"""
Die#1,"""꼴이 말이 아니네……<br>내가 할 수밖에 없다니……하하"""
ThankHeal#1,"""감사해!"""
ThankBuff#1,"""고마워!"""
ThankCure#1,"""후우, 살았다!"""
DefeatEnemy#1,"""자, 다음으로 가자!"""
LevelUp#1,"""축하한다!"""
InvokeSkill1#1,"""이거라면!"""
InvokeSkill2#1,"""어림없어!"""
InvokeSkill3#1,"""어떠냐!"""
TechFire#1,"""받아라!"""
TechIce#1,"""가라!"""
TechThunder#1,"""이거라면!"""
TechWind#1,"""어떠냐!"""
TechLight#1,"""그렇게 둘까 보냐!"""
TechDark#1,"""어림없어!"""
PBFull#1,"""이 기회는 놓치지 않아!"""
PBRelease#1,"""우오오!!"""
Avoid#1,"""흥!"""
HealSelf#1,"""위험했어!"""
BuffSelf#1,"""만전의 상태로 도전해야 해!"""
HealOther#1,"""무리하면 안 돼!"""
BuffOther#1,"""지금 엄호할게!"""
QuestStart1#1,"""좋아, 힘내자!"""
QuestEnd1#1,"""잘된 것 같아!"""
IncidentStart#1,"""이 기척……뭔가 온다!"""
IncidentSuccess#1,"""후우, 다행이다.<br>어떻게든 해결된 모양이야."""
IncidentFailure#1,"""……으음, 뭐가 잘못됐을까."""
PSE#1,"""이건……PSE?"""
PSELevelUp#1,"""좀 더 계속하자!"""
PSEBurst#1,"""왔다……!<br>PSE 버스트다!"""
HP30#1,"""이대로는……위험해"""
