name010#0,"""Aina"""
name020#0,"""Manon"""
name030#0,"""Lucia"""
name040#0,"""Ilma"""
name050#0,"""Crawford"""
text010#0,"""นี่คือ หอคอย..."""
text020#0,"""ดูเหมือนว่าจะเข้าไปข้างในจากตรงนี้ได้นะ"""
text030#0,"""ปฏิกิริยาพลังงานรุนแรงมาก ถ้าเข้าไปข้างในแล้ว ให้จำไว้ว่าการสื่อสารกับพวกเราจะถูกตัดขาด<br>จนกว่าจะทำลายต้นกำเนิดได้นะ"""
text040#0,"""นี่ Crawford นะ<br>หน้าที่ตามหาเบาะแสเพื่อหยุดยั้ง Abduction Hole ฝากพวกเธอด้วยนะ"""
text050#0,"""ข้างในนั้น คงมีพวก Starless แล้วก็...<br>【 เงา 】 ของฉันดักรออยู่แน่ๆ ระวังตัวกันให้ดีล่ะ"""
text060#0,"""ขอบใจนะ Crawford, Ilma<br>อย่าฝืนล่ะ ลุยกันอย่างระมัดระวังเถอะ!"""
text070#0,"""เข้าไปในหอคอย"""
text080#0,"""เดินทางกลับ (สามารถเล่นต่อจากที่ค้างไว้ได้)"""
