name010#0,"""Aina"""
name020#0,"""Manon"""
name030#0,"""Lucia"""
name040#0,"""Alter Crawford"""
text010#0,"""น่าเสียดายจริงๆ ที่ตัวจริงไม่ได้มาอยู่ที่นี่ด้วย"""
text020#0,"""ผู้บัญชาการจอมขี้ขลาดที่ทำอะไรไม่ได้เพราะมัวแต่ยึดติดกับไอ้สิ่งที่ต้องปกป้องอะไรนั่นไงล่ะ!"""
text030#0,"""ไม่ใช่นะ! แค่การใช้กำลังน่ะ ไม่ใช่ความแข็งแกร่งหรอกนะ!"""
text040#0,"""Crawford น่ะแบกรับอะไรไว้มากมายกว่าใครๆ<br>แต่เพราะแบบนั้นแหละ พวกเราถึงเชื่อมั่นในตัวเขาแล้วก้าวต่อไปได้!"""
text050#0,"""ความเตรียมใจที่ต้องรับผิดชอบชีวิตของคนอื่น นั่นแหละคือความแข็งแกร่งของ Crawford ล่ะ<br>นายไม่เข้าใจงั้นเหรอ?"""
text060#0,"""ถึงฉันจะเพิ่งรู้จักเขาได้ไม่นาน... แต่ก็พอจะรู้แหละ<br>สิ่งที่อยู่ในตัวคนคนนั้นน่ะ ไม่ใช่ความแข็งแกร่งกลวงๆ แบบแกหรอก"""
text070#0,"""แกไม่มีวันเอาชนะ Crawford ตัวจริงได้หรอก!"""
text080#0,"""...ไร้สาระ พลัง สติปัญญา ทุกสิ่งทุกอย่างมันอยู่ในตัวฉันหมดแล้ว<br>ในรูปแบบที่สมบูรณ์แบบยิ่งกว่าต้นฉบับซะอีก!"""
text090#0,"""หุบปาก แล้วแหลกสลายไปอย่างน่าสมเพชซะเถอะ! พวก ARKS!!"""
