Title#0,"""Progeny of the Apocalypse"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星ナベリウス上空に【深遠なる闇】と<br>【双子】が出現し、地表に向けて侵攻を<br>開始した。【双子】は【深遠なる闇】への<br>進路を阻むように存在し、連戦は確実だ。<br>侵攻を阻止し、敵性存在を殲滅せよ。<br>――――――――――――――――――――<br>Quest Clear Limit / Only once<br>Ranking Period / 1 Hour 30 Minutes From Start of Emergency<br>Failure: Fail objective, time limit expires"""
SimpleExplanation#0,"""Defeat the [Profound Darkness]"""
Area0S#0,"""Skies of Naberius"""
Area0L#0,"""Skies of Naberius: Shuttle"""
Area1S#0,"""The End of the World"""
Area1L#0,"""The End of the World"""
Area1S#1,"""Point of Return"""
Area1L#1,"""Point of Return"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""You'll be transported to the front soon. Your objective is to forge a path to the [Profound Darkness] by destroying Dark Falz [Double]."""
NpcComMsg2#0,"""This enemy Dark Falz... we cannot even fathom the depths of its power. Be careful, and, please, come back to us safe and sound..."""
NpcComMsg1#1,"""You've opened a path to the [Profound Darkness]. All that remains is for you to take down this powerful foe."""
NpcComMsg2#1,"""We have no detailed orders or instructions for you. Fight bravely, and make it through this alive... That's an order. That is an order!"""
