Title#0,"""Armageddon Incarnate"""
Explanation#0,"""We must move, <%me>.<br>Ardem must be stopped<br>from transforming the world.<br>With that thought in mind,<br>head toward the Earth Guide HQ.<br>The Original Man waits where the Phantoms gather.<br>――――――――――――――――――――<br>Fail: Retire after being incapacitated"""
SimpleExplanation#0,"""Prevent the world transformation!"""
Area0S#0,"""Earth Guide Underground HQ"""
Area0L#0,"""Planet Earth: Earth Guide Underground HQ Area 1"""
Area1S#0,"""Earth Guide Underground HQ"""
Area1L#0,"""Planet Earth: Earth Guide Underground HQ Area 2"""
Area2S#0,"""Earth Guide Underground HQ"""
Area2L#0,"""Planet Earth: Earth Guide Underground HQ Area 3"""
Area3S#0,"""Earth Guide Underground HQ"""
Area3L#0,"""Planet Earth: Earth Guide Underground HQ Area 4"""
Area4S#0,"""Phantom Garden"""
Area4L#0,"""Planet Earth: Phantom Garden"""
QuestInfoAreaName#0,"""Earth Guide Underground HQ"""
