Title#0,"""T: The Profound Invasion"""
Explanation#0,"""アークス各員に緊急連絡。<br>ダークファルス【巨躯】による<br>アークスシップへの襲撃が開始された。<br>また、侵食された旧マザーシップ内からも<br>強大なダーカー反応が確認されている。<br>事態は深刻だ。各員、準備が出来次第<br>【巨躯】の襲撃を速やかに阻止し<br>旧マザーシップに現れた敵を迎撃せよ。<br>――――――――――――――――――――<br>Fail: Fail objective, time limit expires."""
SimpleExplanation#0,"""Defeat both Dark Falz manifestations!"""
Area0S#0,"""ARKS Ship Wreckage """
Area0L#0,"""ARKS Ship Wreckage - Deck Area 1 """
Area1S#0,"""Infested Mothership """
Area1L#0,"""Infested Mothership - Internal Area 1 """
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""準備はできたようだな。<br>これから恐らくダークファルスの<br>連戦となることが予想される……"""
NpcComMsg2#0,"""まずは【巨躯】の正面へ転送する。<br>すみやかに撃退し、次に備えてくれ。<br>厳しい戦いとなるが……必ず生還しろ。"""
NpcComMsg1#1,"""【敗者】が姿を現したようです。<br>これからダークファルスの元に<br>転送を行います。"""
NpcComMsg2#1,"""【巨躯】との戦いで疲弊した皆さんを<br>私は……送り出すことしかできません。<br>……どうか、どうか無事に帰還を。"""
