Title#0,"""A Falling Seed of the End"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星ナベリウス上空に【深遠なる闇】と<br>【双子】が出現し、地表に向けて侵攻を<br>開始。異常ともいえる強大な反応から<br>極めて危険な戦いになると予想される。<br>各員、十分に準備を整え、決戦へと向かえ。<br>――――――――――――――――――――<br>Quest Clear Limit / Only once<br>Ranking Period / 1 Hour 30 Minutes From Start of Emergency<br>Fracaso: fallas el objetivo si Finaliza el tiempo limite"""
SimpleExplanation#0,"""Derrota a [Profound Darkness]"""
Area0S#0,"""Cielos de Naberius"""
Area0L#0,"""Cielos de Naberius: Lanzadera"""
Area1S#0,"""El Fin del Mundo"""
Area1L#0,"""El Fin del Mundo"""
Area1S#1,"""Punto de Regreso"""
Area1L#1,"""Punto de Regreso"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la Licencia para Super Dificil."""
a4#0,"""Poseer la Licencia para Super Dificil."""
NpcComMsg1#0,"""Usted sera transportado. Su objetivo es crear un camino hasta [Profound Darkness] destruyendo a Dark Falz [Double]."""
NpcComMsg2#0,"""Este Dark Falz... ni siquiera nuestro sistema puede medir la cantidad de su poder. Ten cuidado... y, por favor, vuelve sano y salvo..."""
NpcComMsg1#1,"""Has abierto un camino hasta [Profound Darkness]. Todo lo que queda es confiar que puedas enfrentarte a este poderoso enemigo"""
NpcComMsg2#1,"""No tenemos ordenes o instrucciones detalladas para ti. Lucha con valor, y vuelve con vida... Es una orden. Es una orden!"""
