Title#0,"""MISSION: Start"""
Explanation#0,"""このたび新たに開発された<br>アークスの訓練用プログラム、第一弾です。<br>森林、火山洞窟、砂漠が舞台ですが、<br>チャレンジクエストの名に相応しい<br>非常に挑戦的な難易度となっております。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>Objective / Clear 5 missions."""
SimpleExplanation#0,"""Completa 5 misiones!\"""""
Area0S#0,"""Mission 1"""
Area0L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 1"""
Area1S#0,"""Mission 2"""
Area1L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 2"""
Area2S#0,"""Mission 3"""
Area2L#0,"""ARKS Ship: Espacio Virtual (Desierto) - Mision 3"""
Area3S#0,"""Mission 4"""
Area3L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 4"""
Area4S#0,"""Mission 5"""
Area4L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 5"""
Area5S#0,"""Mission 6"""
Area5L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 6"""
Area6S#0,"""Mission 7"""
Area6L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 7"""
Area7S#0,"""Mission 8"""
Area7L#0,"""ARKS Ship: Espacio Virtual (Desierto) - Mision 8"""
Area8S#0,"""Mission 9"""
Area8L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 9"""
Area9S#0,"""Mission 10"""
Area9L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 10"""
Area10S#0,"""Mission 11"""
Area10L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 11"""
Area11S#0,"""Mission 12"""
Area11L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 12"""
Area12S#0,"""Mission 13"""
Area12L#0,"""ARKS Ship: Espacio Virtual (Desierto) - Mision 13"""
Area13S#0,"""Mission 14"""
Area13L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 14"""
Area14S#0,"""Mission 15"""
Area14L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 15"""
Area15S#0,"""Mission 16"""
Area15L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 16"""
Area16S#0,"""Mission 17"""
Area16L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 17"""
Area17S#0,"""Mission 18"""
Area17L#0,"""ARKS Ship: Espacio Virtual (Desierto) - Mision 18"""
Area18S#0,"""Mission 19"""
Area18L#0,"""ARKS Ship: Espacio Virtual (Bosque) - Mision 19"""
Area19S#0,"""Mission 20"""
Area19L#0,"""ARKS Ship: Espacio Virtual (Volcan) - Mision 20"""
Area20S#0,"""Area de Descanso 1"""
Area20L#0,"""ARKS Ship - Espacio Virtual (Desierto) - Area de Descanso 1"""
Area21S#0,"""Area de Descanso 2"""
Area21L#0,"""ARKS Ship - Espacio Virtual (Volcan) - Area de Descanso 2"""
Area22S#0,"""Area de Descanso 3"""
Area22L#0,"""ARKS Ship - Espacio Virtual (Bosque) - Area de Descanso 3"""
Area23S#0,"""Area de Descanso 4"""
Area23L#0,"""ARKS Ship - Espacio Virtual (Desierto) - Area de Descanso 4"""
Area24S#0,"""Area de Descanso 5"""
Area24L#0,"""ARKS Ship - Espacio Virtual (Volcan) - Area de Descanso 5"""
Area25S#0,"""Area de Descanso 6"""
Area25L#0,"""ARKS Ship - Espacio Virtual (Bosque) - Area de Descanso 6"""
