Title#0,"""決断の日"""
Explanation#0,"""【仮面】は言った。<br>「ナベリウス、約束の地で待つ」と。<br>それが、どこを指し示しているのかは瞭然。<br>ナベリウスで交わされた約束とは<br>十年前のただひとつ。彼女との約束のみ。<br><br>二人しか知らないはずの約束。<br>再会を誓った樹の元で、全ては語られる。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""???"""
Area0S#0,"""森林エリア"""
Area0L#0,"""惑星ナベリウス\u3000森林エリア"""
Area1S#0,"""壊世区域\u3000遺跡エリア"""
Area1L#0,"""惑星ナベリウス\u3000壊世区域\u3000遺跡エリア"""
Area2S#0,"""壊世区域\u3000森林エリア１"""
Area2L#0,"""惑星ナベリウス\u3000壊世区域\u3000森林エリア１"""
Area3S#0,"""壊世区域\u3000森林エリア２"""
Area3L#0,"""惑星ナベリウス\u3000壊世区域\u3000森林エリア２"""
Area4S#0,"""壊世区域\u3000森林エリア３"""
Area4L#0,"""惑星ナベリウス\u3000壊世区域\u3000森林エリア３"""
Area5S#0,"""壊世区域\u3000遺跡エリア"""
Area5L#0,"""惑星ナベリウス\u3000壊世区域\u3000遺跡エリア"""
