name01#0,"""Ozha"""
name02#0,"""Marlu"""
name03#0,"""Lisa"""
name04#0,"""Afin"""
name05#0,"""Patty"""
name06#0,"""Tea"""
name07#0,"""Sara"""
skit01#0,"""Let's finish this up. We need to defeat them before the fence opens!"""
skit02#0,"""If we defeat everything before the fence opens, we should manage."""
skit03#0,"""We're stuck here? Seems like that just makes it more fun."""
skit04#0,"""We're closed in? I'm not a fan of fighting in tight places."""
skit05#0,"""Looks like we were able to get them closed in. Let's finish this up!"""
skit06#0,"""But we're stuck here too. We need to be more careful."""
skit07#0,"""We're stuck, but that actually makes things easier."""
skit01#1,"""/ci2 2 Let's finish this up. We need to defeat them before the fence opens!"""
skit02#1,"""/ci2 2 If we defeat everything before the fence opens, we should manage."""
skit03#1,"""/ci2 2 We're stuck here? Seems like that just makes it more fun."""
skit04#1,"""/ci2 2 We're closed in? I'm not a fan of fighting in tight places."""
skit05#1,"""/ci2 2 Looks like we were able to get them closed in. Let's finish this up!"""
skit06#1,"""/ci2 2 But we're stuck here too. We need to be more careful."""
skit07#1,"""/ci2 2 We're stuck, but that actually makes things easier."""
