name_7656#0,"""Сегретт"""
ssn_013030_0001#0,"""Здравствуйте...приятно познакомиться."""
ssn_013030_0002#0,"""Надеюсь на сотрудничество и в будущем..."""
ssn_013030_0101#0,"""Известно ли вам……о “потенциале оружия”?.."""
ssn_013030_0102#0,"""Если не знаете... спросите у меня..."""
ssn_013030_0201#0,"""Ясно... Если возникнут вопросы...<br>Пожалуйста, дайте мне знать..."""
ssn_013030_0301#0,"""У каждого оружия есть...<br>свой скрытый потенциал..."""
ssn_013030_0302#0,"""Используя материалы в качестве катализатора,..<br>в процессе обработки оружия... можно раскрыть...<br>его силу... его потенциал."""
ssn_013030_0303#0,"""Но,.. чтобы раскрыть потенциал...<br>вам потребуется фотонный “минерал”..."""
ssn_013030_0304#0,"""На это раз, я дам вам... необходимое...<br>Возьмите и отправляйтесь в лабораторию предметов."""
ssn_013030_0401#0,"""Потенциал оружия... как смотришь на то,<br>чтобы раскрыть потенциал своего оружия?.."""
ssn_013030_0402#0,"""Оружие станет мощнее... в качестве<br>катализатора понадобятся “минералы”..."""
ssn_013030_0403#0,"""Кто знает... какие способности скрыты...<br>и в каком оружии..."""
ssn_013030_0404#0,"""...Пожалуйста, попробуй разблокировать...<br>как можно больше потенциалов."""
