name_7224#0,"""Xitrae"""
ssn_019070_002_0001#0,"""Thanks for coming. Let me introduce myself again."""
ssn_019070_002_0002#0,"""I'm Xitrae. I'm from the Central City Supply Corps, and I'm in charge of managing supplies to support combat operations."""
ssn_019070_002_0003#0,"""So, lately we've been running into way stronger enemies. So many people are getting hurt that the medical team can't handle it all."""
ssn_019070_002_0004#0,"""So, I'm here to give ARKS advice about upgrading their weapons, so they can take those big baddies on."""
ssn_019070_002_0005#0,"""I don't wanna stick my nose in where isn't wanted, but could you run through this program too?"""
ssn_019070_002_0006#0,"""First up, we've gotta get you some funds. If you want to get paid fast, my advice is to go and pick up some Alpha Reactors."""
ssn_019070_002_0007#0,"""They're all over Aelio, so you shouldn't have any trouble finding them if you poke around a bit."""
ssn_019070_002_0008#0,"""Okay, good luck!"""
ssn_019070_002_0009#0,"""Hey, how are ya? I've been busy trying to keep our supply lines open."""
ssn_019070_002_0010#0,"""お帰り！<br>武器強化は、今まで集めたものでできるんだけど……。"""
ssn_019070_002_0011#0,"""カプタンっていうエネミー、知ってる？"""
ssn_019070_002_0012#0,"""最近増えてる強いエネミーとは別口で、<br>ドールズともアルターズとも違うタイプらしいんだ。"""
ssn_019070_002_0013#0,"""……まあ、そのへんの詳しい調査は、<br>シャンディーとかランに任せるとして……。"""
ssn_019070_002_0014#0,"""このカプタン、装備の性能向上に欠かせない、<br>カプセルをまき散らすんだ。"""
ssn_019070_002_0015#0,"""……謎の多いエネミーだけど、<br>ボクらとしては助かるよね。"""
ssn_019070_002_0016#0,"""で、コイツを探してみてほしいんだ。"""
ssn_019070_002_0017#0,"""キミの装備強化のためにも、ね。"""
ssn_019070_002_0018#0,"""あ、戻ってきたね！"""
ssn_019070_002_0019#0,"""これで、強化の準備はできた。<br>あとは、アイテムラボに行くだけね。"""
ssn_019070_002_0020#0,"""どの武器を、どのくらい鍛えるかは、<br>キミの判断にまかせるよ。"""
ssn_019070_002_0021#0,"""その武器で、これからもエネミー討伐に<br>協力してもらえると、助かるな。"""
ssn_019070_002_0022#0,"""はい！\u3000これで、今回のプログラムはおしまい。<br>キミにとっては、今さらなメニューだったかな……。"""
ssn_019070_002_0023#0,"""参加してくれたお礼を渡しておくね。"""
ssn_019070_002_0024#0,"""それと、もしもキミの仲間が武器強化で困っていたら、<br>今回の経験を踏まえてアドバイスしてくれると嬉しいな。"""
ssn_019070_002_0025#0,"""それじゃ、これからもよろしくね！"""
ssn_019070_002_0026#0,"""補給は戦いの生命線！<br>少しくらい、エネミーが強くなっても負けないよ。"""
ssn_019070_002_0027#0,"""キミも、心身と装備を鍛えて、<br>がんばって！"""
npc_menu_0001#0,"""Trade Tickets for Items (Ends <utcymdt>2022-6/8/2:00</utcymdt>)"""
npc_menu_0002#0,"""Trade Seasonal Points for Items (Ends <utcymdt>2022-6/8/2:00</utcymdt>)"""
npc_menu_0003#0,"""Ask About the Seasonal Event"""
npc_menu_0004#0,"""Close Menu"""
npc_menu_0005#0,"""About the Seasonal Event"""
npc_menu_0006#0,"""About the Seasonal Event Character"""
npc_menu_0007#0,"""About Daily/Weekly Tasks"""
npc_menu_0008#0,"""About Mischief Symbols"""
npc_menu_0009#0,"""About Seasonal Gathering"""
npc_menu_0010#0,"""About Seasonal Regional Mags"""
npc_menu_0011#0,"""About Seasonal Enemies"""
npc_menu_0012#0,"""About World Trials"""
npc_menu_0013#0,"""About Captan"""
npc_menu_0014#0,"""Don't ask anything"""
