E_Quest_Common_End#0,"""異常事態の収束を確認。作戦協力に感謝します。"""
E_Section11101_Notice#0,"""【通達】エアリオ草原西周辺にて異変を感知。"""
E_Section11101_Open#0,"""【緊急連絡】エアリオ草原西周辺にて緊急事態発生。アークス各員は至急現場に向かってください。"""
E_Section11102_Notice#0,"""【通達】エアリオの断崖周辺にて異変を感知。"""
E_Section11102_Open#0,"""【緊急連絡】エアリオの断崖周辺にて緊急事態発生。アークス各員は至急現場に向かってください。"""
E_Section11110_Notice#0,"""【通達】エアリオ遺跡周辺にて異変を感知。"""
E_Section11110_Open#0,"""【緊急連絡】エアリオ遺跡周辺にて緊急事態発生。アークス各員は至急現場に向かってください。"""
E_eario_Dolls_1120000_Notice#0,"""Alerta de Emergencia: Hemos detectado la señal de energía de poderos DOLLS en la Región Aerio. Todos los miembros de ARKS, prepárense para salir. <yellow>(para jugadores con un nivel de poder de 950 o superior)<c>"""
E_eario_Dolls_1120000_Open#0,"""Aviso a todos los miembros de ARKS: Iniciaremos la campaña para repeler a los DOLLS que han aparecido en la Región Aerio. Se solicita a todos los ARKS que participen en esta misión. <yellow>(para jugadores con un nivel de poder de 950 o superior)<c>"""
E_eario_Common_End#0,"""La operación fue exitosa. Gracias por su cooperación."""
W_Trial_Gold_Notice#0,"""緊急警報発令。上空に多数の飛翔体を確認。まもなく、こちらに到達します。アークス各員は出撃の準備をお願いします。"""
W_Trial_Gold_Open#0,"""アークス各員に通達。落下したステラーグレイスの回収作戦が進行中です。任務への参加をお願いします。"""
W_Trial_Gold_End#0,"""ステラーグレイスの回収作戦は終了しました。任務に協力いただき、ありがとうございました。"""
E_eario_Dolls_1120001_Notice#0,"""緊急警報発令。エアリオリージョンに、強力なドールズの反応を確認。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_eario_Dolls_1120001_Open#0,"""アークス各員に通達。エアリオリージョンに出現したドールズに対し、撃退作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
Title_Quest_Info_1#0,"""Info de misión simple"""
Title_Quest_Info_2#0,"""Nombre de la misión"""
Title_Quest_Info_3#0,"""participantes """
Title_Quest_Info_4#0,"""Objetivo de la misión"""
Mes_Failure_Confirm#0,"""Misión fallida"""
Title_Mission_Achievement#0,"""Misión cumplida"""
Title_Mainmission#0,"""Misión principal"""
Title_Submission#0,"""Misión secundaria"""
Title_Quest_Cleartime#0,"""Tiempo completado"""
SubTitle_Quest_Cleartime#0,"""Tiempo completado"""
SubTitle_Quest_Besttime#0,"""Mejor tiempo """
