Begin#0,"""開始5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/ci2 1 유미코! 원군이 와 주었소!<br>이걸로 제압할 수 있겠소!"""
Success#1,"""/ci2 1 <%me>님!<br>정말 감사하오!"""
Failure#1,"""이 무슨 꼬락서니…<br>면목이 없소…"""
Dead#1,"""실수해버렸소…!"""
BuddyDead#1,"""유미코!?<br>네 이놈, 잘도 유미코를…!"""
Begin#2,"""/ci2 2 으-음…졸자는 매번 한 소리 들을 뿐<br>참고는 되지 않을지 모르겠으나<br>진심을 담아 보내면 좋을거라고 생각하오!"""
Success#2,"""/ci2 2 우선은 감사가 중요하겠소만!<br>제대로 진심을 다한다면<br>반드시 괜찮을 것이오…!"""
Failure#2,"""/ci3 2 불찰…!<br>졸자의 무력함이 원인이오…"""
Dead#2,"""/mn5 당해버렸소…<br>이츠키 공, 미안하오…"""
BuddyDead#2,"""/mn2 이츠키 공!<br>원수는 반드시 갚도록 하겠소!"""
Begin#3,"""/ci2 2 오락을 방해하는 발칙천만한 무리는<br>젊은 친우들을 위해…<br>졸자들이 쓰러뜨리겠소!"""
Success#3,"""/ci2 2 음, 방해꾼은 쓰러뜨렸소!<br>졸자들은, 젊은 친우들을 지켜보기 위해<br>다음의 방해꾼을 천벌하러 가도록 하겠소!"""
Failure#3,"""/ci3 2 무념…<br>일단, 물러나도록 하겠소."""
Dead#3,"""/mn5 무, 무념…<br>미안하오…"""
BuddyDead#3,"""/mn18 킷드 공!<br>잘도…!<br>카타나의 녹으로 만들어 드리겠소!"""
