un_020190_0010#0,"""Hola, hola, Soy Patty!"""
un_020190_0020#0,"""Siento que me he presentado así antes."""
un_020190_0030#0,"""Realmente no creo que nadie se preocupe, Soy Tea."""
un_020190_0040#0,"""Aparte de eso, logramos investigar sobre eso que tenías curiosidad saber!"""
un_020190_0050#0,"""¿No te acuerdas, uh \""Que\""!? Eso súper peligroso cosita-cosa!!"""
un_020190_0060#0,"""El arma de Claris Claes, la Clarisa."""
un_020190_0070#0,"""¡Correcto! El baston Génesis, la White Tin Clarisa!"""
un_020190_0075#0,"""Tenías curiosidad por ello, ¿verdad? De todos modos, no importa, ¡miramos de todos modos!"""
un_020190_0080#0,"""Tiene un marco encantador del color de la nieve blanca que le brilla cuando usted lo toca. Espera, ¿era blanco?"""
un_020190_0090#0,"""¿No es eso lo que fuiste a investigar en primer lugar? Me lo llevo de aquí, Patty."""
un_020190_0100#0,"""Acerca de la Clarisa, parece que se perdió hace 10 años."""
un_020190_0110#0,"""Es por eso que la actual Clarisa es falsa."""
un_020190_0120#0,"""A pesar de que no es el original, todavía tiene un poder inmenso. No es algo que te gustaría probar."""
un_020190_0130#0,"""Incluso entre las armas del Génesis, la Clarissa es especial. Al igual que elige a alguien con un cierto nivel de habilidad..."""
un_020190_0140#0,"""La barra elige quién puede usarla? Es casi como si estuviera viva. ¡Eso explicaría por qué ella le habla!"""
un_020190_0150#0,"""... Tienes razón, no es raro oír rumores de que Clarissa habla con su arma."""
un_020190_0160#0,"""\""Dame poder, más poder, ¿me escuchaste?\"", ¿o algo así?"""
un_020190_0170#0,"""¿Por qué la hiciste sonar tan condescendiente?"""
un_020190_0180#0,"""Porque Clarisa Claes suena así"""
un_020190_0190#0,"""No se puede discutir contigo..."""
