un_020290_0010#0,"""<%me>, Es un alivio ver que lo estás haciendo bien."""
un_020290_0020#0,"""Sus habilidades son algo que seran más vital para ARKS en un futuro proximo."""
un_020290_0030#0,"""Es genial que estés haciendo todo lo posible, pero trata de no exagerar."""
un_020290_0040#0,"""Pero los Darkers han aumentado realmente en esta área. Usted esta siendo enviado aquí es una prueba más de eso."""
un_020290_0050#0,"""¿Mi intención? Simplemente reuniendo información. Si los superiores quisieran que todo fuera aniquilado, habrían enviado a Clarissa Claes."""
un_020290_0060#0,"""Los Tres Héroes también están divididos por nuestras respectivas habilidades. Para decirlo sin rodeos, Clarissa Claes está volando todo."""
un_020290_0070#0,"""Ella no piensa y simplemente vuela todo a su alrededor, así que supongo que le queda bien."""
un_020290_0080#0,"""En intelecto... mientras que su ataque es extremadamente alto, Ella no se apresura y se cansa con bastante rapidez."""
un_020290_0090#0,"""Personalmente, yo soy el contrario. Me concentro en la efectividad, así que estoy más preparado para las batallas prolongadas."""
un_020290_0100#0,"""Si alguien fuera a hacer una ofensiva total, no estoy seguro de si sería capaz de mantener el ritmo. Es algo en lo que tengo que trabajar."""
un_020290_0110#0,"""En cuanto a Regius... es mejor no enfrentarse a él para empezar."""
un_020290_0120#0,"""Evita la confrontación a toda costa, o piensa en tus pies durante la batalla."""
un_020290_0130#0,"""Pero si tuviera que pensar en su debilidad... sería su tendencia a pensar demaciado, incluso en el campo de batalla."""
un_020290_0140#0,"""Podría ser más exacto decir que cada uno tiene sus propias fuerzas y debilidades."""
un_020290_0150#0,"""Regius es la más fuerte, Clarissa Claes es la más peligrosa y yo soy quien más problemás causa."""
un_020290_0160#0,"""Ésa es generalmente la razón por la que consigo pegada con el trabajo pesado de recolectar la información."""
