un_025120_0010#0,"""Oh, oh, hola, ¿cómo estás? ¿Sentirse bien? ¡Eso es bueno! Sentirse bien es genial."""
un_025120_0020#0,"""Los ARKS están pasando por grandes cambios en este momento. ¡Sólo se pondrá más loco! Tenga cuidado de no dañar su cuerpo, ¿ok?"""
un_025120_0030#0,"""Parece que hay un montón de de secretos sobre el pasado que están saliendo a la luz."""
un_025120_0040#0,"""Por ejemplo ... Sí, ¿sabes? ¿Quieres oír hablar de uno?"""
un_025120_0050#0,"""Había una vez en una tierra lejana, un bebé suuuper enfermizo."""
un_025120_0060#0,"""Ooh, ooh, Vamos a llamarla 'Lisa'!"""
un_025120_0070#0,"""Esta 'Lisa', ¿sabes? Era tan buena en manipular fotones, pero su cuerpo no podía soportar la tensión."""
un_025120_0080#0,"""¡Oh no! ARKS no podía usar a alguien así. ¡Un desperdicio!"""
un_025120_0090#0,"""Aquí estaba esta pequeña dama con tanto talento, y sin embargo ella era totalmente inútil. Bueno, no podríamos tener eso, ¿no?"""
un_025120_0100#0,"""Así que al día siguiente, Lisa decidió convertirse en un cast! Fue una decisión de una fracción de segundo que llevó a una transformación descomunal!"""
un_025120_0110#0,"""Habiendo recibido un cuerpo poderoso, por supuesto quería mostrar sus increíbles nuevas habilidades, ¿verdad? ¡Por supuesto!"""
un_025120_0120#0,"""Pero ¿se estaba convirtiendo en un cast, realmente era la decisión de Lisa? Ni siquiera Lisa sabe eso."""
un_025120_0130#0,"""Usted ve, nadie que se convierte en un cast nunca recuerda lo que eran antes de la transformación."""
un_025120_0140#0,"""¿Pero tu sabes? ¿Ya sabes? ¿Sabes que? Pasado o no pasado, el hecho de que todos puedan unir fuerzas y mantenerse fuertes juntos es lo que hizo a nuestro mundo lo que es."""
un_025120_0150#0,"""Al final, todo el mundo tiene que decidir por sí mismos si eso los hace felices o no."""
un_025120_0160#0,"""Es por eso que Lisa siempre está diciendo, 'si no puedes divertirte, ¡podrías estar muerto!’ Hehe. Heeheeheeheehee."""
un_025120_0170#0,"""Ok, entonces, adiós, adiós, adiós!"""
