un_020700_0010#0,"""¿El fondo del océano? Supongo que es hora de pedir ayuda."""
un_020700_0020#0,"""No hay nada que temer, porque soy yo, Patty!"""
un_020700_0030#0,"""Hola, Tea aquí. Ignora a mi hermana. En serio, simplemente ignórala."""
un_020700_0040#0,"""Hey, no me ignores! Sólo me hace querer ser mucho más molesta!"""
un_020700_0050#0,"""Así que, ¿te das cuenta de que eres una plaga? ¿Puedes explicar dónde estamos?"""
un_020700_0060#0,"""¡Déjamelo a mí! ¡Esto es el subterráneo debajo del océano! ¡Pero no hay agua!"""
un_020700_0070#0,"""Debe ser el fondo del mar, pero el agua se está reteniendo de alguna manera. Como puede ver, es una gran caverna aquí abajo."""
un_020700_0080#0,"""También hay instalaciones inusuales que han sido descubiertas y están siendo investigadas."""
un_020700_0090#0,"""Dicho esto, ninguna de la información se está haciendo público!"""
un_020700_0100#0,"""Hay nativos con los que podemos comunicarnos y, sin embargo, no hay ningún aviso oficial. ¿Cual podría ser la razón para eso?"""
un_020700_0110#0,"""O bien han decidido no publicar nada, o simplemente que no van a publicar nada. No puedo decir, sin embargo."""
un_020700_0120#0,"""También parece que las instalaciones están siendo destruidas. Pero por quién y por qué todavía se desconoce."""
un_020700_0130#0,"""Debido a todo lo que sucede, los enemigos ya violentos se han vuelto aún más violentos!"""
un_020700_0140#0,"""Si vas a investigar aquí, ten cuidado de no quedar atrapado."""
