un_020210_0010#0,"""<%me>... Umm... Mucho tiempo sin verte."""
un_020210_0020#0,"""Oh, Gracias a ti he logrado recuperarme."""
un_020210_0030#0,"""Me duele el corazón venir aquí y recordar los hechos ocurridos, pero..."""
un_020210_0040#0,"""Si no supero esto... no puedo seguir adelante."""
un_020210_0050#0,"""Sin embargo, hay una cosa que me preocupa, y es a donde exactamente se fue Clarissa después que la usé."""
un_020210_0060#0,"""Esa cosa es ... peligrosa. Vine aquí con la intención de buscarlo, pero no pude encontrarlo en ninguna parte..."""
un_020210_0070#0,"""En verdad, no puedo manejarlo. Sólo podía llevarla. Incluso cuando lo hice, entendí:"""
un_020210_0080#0,"""Ah, la gente como yo no pueden utilizar eso."""
un_020210_0090#0,"""Solo sosteniéndola, sentí que mi corazón se iba a romper. Era como si..."""
un_020210_0100#0,"""...No podía controlar completamente mis acciones... como si me estuvieran tragando a un abismo interminable..."""
un_020210_0110#0,"""Me pregunto hasta qué punto el portador es capaz de manejar tal cosa..."""
un_020210_0120#0,"""Pero siento... que absolutamente debe volver a su legítimo dueño."""
un_020210_0130#0,"""...Mis disculpas. Necesito un poco de tiempo para resolver mis emociones."""
