un_025030_0010#0,"""¿¡H-HUEY!?"""
un_025030_0020#0,"""...Es sólo tú, Insecto. Uf."""
un_025030_0030#0,"""¿Buscándome? ...Por supuesto no. Heh, 'Estoy aquí para matarte' habría sido más convincente, ¿no piensas?"""
un_025030_0040#0,"""Sé que los vio. Esas... cosas... que se parecian a mí."""
un_025030_0050#0,"""No soy diferente. Tuve la suerte de ser elegida."""
un_025030_0060#0,"""Lo entiendo ahora... Mi poder es falso, una réplica. Y hay muchas cosas para reemplazarme."""
un_025030_0070#0,"""Todo estaba preparado. Era un papel que habría sido llenado con o sin mí."""
un_025030_0080#0,"""Tomé un asiento en el consejo y fui actuando como si fuera uno de los tres grandes héroes, nunca sospechando nada."""
un_025030_0090#0,"""Clarissa ahora ni siquiera me habla."""
un_025030_0100#0,"""Todo el tiempo, fui manipulada por esa persona, Luther. Fueron sus palabras."""
un_025030_0110#0,"""¡Que broma! Es muy gracioso, que ni siquiera puedo reír."""
un_025030_0120#0,"""...No sé cómo se supone que debo reír."""
un_025030_0130#0,"""O-oh no! ¡Es Huey! ¡Huey viene!"""
un_025030_0140#0,"""Insecto! ¡Nunca me viste! ¡No te atrevas a decir una palabra!"""
un_025030_0150#0,"""Donde quiera que lloren Los Photons, el gran Huey estára ahi!"""
un_025030_0160#0,"""...Donde se fue otra vez!? ¡Tú allí! Claris Claes estaba aquí, ¿no?"""
un_025030_0170#0,"""1. Tal vez si talves no?"""
un_025030_0180#0,"""2. Ella se fue hace un momento."""
un_025030_0190#0,"""Usted tiene mi agradecimiento! ¡Hasta que nos encontremos de nuevo!"""
