un_020440_0010#0,"""Whew..."""
un_020440_0020#0,"""Ah, sorry. I just caught up in thought..."""
un_020440_0030#0,"""If it's okay, I was wondering if there's something I could ask you."""
un_020440_0040#0,"""For a mission, it's not unusual for a guy and girl to team up, right?"""
un_020440_0050#0,"""So... uh.. what if they happen to join arms or something..."""
un_020440_0060#0,"""L-like it's still a mission, but more than that, it's like, you're together."""
un_020440_0070#0,"""I'm not referring to anyone in particular, I mean in, uh, general. That's it..."""
un_020440_0080#0,"""It's just that, it was so warm and she got so mad and uh...."""
un_020440_0090#0,"""Sorry, I guess you can't understand what I'm talking about."""
un_020440_0100#0,"""Forget what I just said. Nothing, really, it's nothing."""
un_020440_0110#0,"""Right, I shouldn't think about it. I'm not going to... think about it..."""
