un_020440_0010#0,"""Uf..."""
un_020440_0020#0,"""Ah, Lo siento, estaba meditando..."""
un_020440_0030#0,"""Si está bien, me preguntaba si hay algo que podría hacerte."""
un_020440_0040#0,"""Para una misión, no es raro que un chico y una chica se unan, ¿verdad?"""
un_020440_0050#0,"""Así que... eh... ¿qué pasa si se unen a las armas o algo así..."""
un_020440_0060#0,"""Como que sigue siendo una misión, pero más que eso, es como una cita."""
un_020440_0070#0,"""No me refiero a nadie en particular, quiero decir, General. Eso es..."""
un_020440_0080#0,"""Es sólo eso, era tan cálido y ella se enojo tanto uh...."""
un_020440_0090#0,"""Lo siento, supongo que no puedes entender lo que estoy hablando."""
un_020440_0100#0,"""Olvídate de lo que acabo de decir. En realidad, no es nada"""
un_020440_0110#0,"""Bien, no debería pensar en eso. No voy a... pensar en ello..."""
