un_025160_0010#0,"""Ah, <%me>. Justo a tiempo."""
un_025160_0020#0,"""Xiao. No sirve de nada si nos preocupamos por esto. ¿Qué tal la opinión de otra persona?"""
un_025160_0030#0,"""...buen punto. Me gustaría su opinión sobre el futuro del sistema de gestión ARKS."""
un_025160_0040#0,"""Francamente, se trata de los Tres Héroes y el Consejo de los Seis. Deberíamos dejar el sistema, o destruirlo."""
un_025160_0050#0,"""Si destruimos el sistema creo que todo el mundo va a ir junto con él, que está bien, pero el control se puede perder."""
un_025160_0060#0,"""Pero, creo que dejar las cosas tal y como están está bien... honestamente, estoy perdido."""
un_025160_0070#0,"""1. Es mejor dejar las cosas como están"""
un_025160_0080#0,"""2. Es mejor destruir el sistema"""
un_025160_0090#0,"""Sí, creo que dejarlo en su lugar es mejor."""
un_025160_0100#0,"""Las cosas ya son bastante confusas, ¿por qué añadir mas fuego?"""
un_025160_0110#0,"""Además de eso, si destruyes los símbolos de los Tres Héroes y el Consejo de los Seis, ¿no será difícil suprimir la confusión?"""
un_025160_0120#0,"""Los ARKS moviéndose juntos como uno sería agradable... considerando las cosas humanamente."""
un_025160_0130#0,"""Hm, Destruirlo ... destruir, huh... si había un representante que podría estar bien."""
un_025160_0140#0,"""¿Que opinas Ulc?"""
un_025160_0150#0,"""No, incluso considerando los méritos del cambio... no será suficiente."""
un_025160_0160#0,"""Si cambiamos el sistema ahora habrá confusión, que me preocupa."""
un_025160_0170#0,"""Bueno, hemos publicado varios secretos. Probablemente sería mejor evitar cualquier caos innecesario."""
un_025160_0180#0,"""Para empezar, la organización ARKS no es tan podrida. Es sólo la parte superior que ha estado mal."""
un_025160_0190#0,"""Puesto que Regius y ellos fueron amenazados por Luther creo que deberíamos ser capaces de reconstruir."""
un_025160_0200#0,"""Por supuesto, tendremos que reestructurar la cadena de mando."""
un_025160_0210#0,"""Por ahora, seguiremos progresando conmigo en la cima... aunque realmente no quiero hacerlo."""
un_025160_0220#0,"""Realmente estaría muy aliviado si pudieras hacerlo, <%me>."""
un_025160_0230#0,"""Pero, será un problema si no puede salir al campo, por lo que no funcionará."""
un_025160_0240#0,"""Aaah, ¿No hay un civil que pueda encomendar oficina administrativa que entienda la situación y proporcione opinión?"""
un_025160_0250#0,"""Xiao, Eres demasiado ambicioso. No espere el lujo de encontrar una persona perfecta para lo que necesita."""
un_025160_0260#0,"""Fracasando muchas, muchas veces, pero todavía consiguiendo de nuevo para empujar adelante. Eso es lo que somos, ¿no?"""
un_025160_0270#0,"""¿qué pasa con ustedes dos? ¿Hay algo raro conmigo?"""
un_025160_0280#0,"""...Ahi esta. Justo lo que necesitamos."""
un_025160_0290#0,"""Bueno, fuiste muy útil <%me>. Volveré a consultar con usted otra vez."""
un_025160_0300#0,"""Eh, um, Xiao? ¿Por qué tienes una expresión refrescada en tu cara como si todo estuviera resuelto?"""
