un_020540_0010#0,"""Hm? Oh, you're ARKS."""
un_020540_0020#0,"""Me? I'm in ARKS as well. My name's<br>Io. Nice to meet you, sir."""
un_020540_0030#0,"""What are you so surprised for, sir? Or are you not used to being called that?"""
un_020540_0040#0,"""I just entered ARKS, so it's natural for me to call you sir, correct?"""
un_020540_0050#0,"""What, you're curious about these?<br>It's not like they're rare or anything."""
un_020540_0055#0,"""It's the same for you as well, right sir?"""
un_020540_0060#0,"""Dewmans have this characteristic. Our eyes are also different colors. Look."""
un_020540_0070#0,"""The markings on my body? I don't think it would be a good idea to expose myself."""
un_020540_0080#0,"""What's that look on your face? I know there are people who like to expose themselves. I'm not one of them."""
un_020540_0090#0,"""Anyway, I have two of these, so use that to recognize me."""
un_020540_0100#0,"""See you next time, sir."""
