name01#0,"""???"""
name02#0,"""???"""
st_020770_0001#0,"""A.P.238/7/7/15:00"""
st_020770_0010#0,"""Qué...? Se va... El conocimiento que debe estar a mi alcance ...!"""
st_020770_0020#0,"""Aa... Aah... Aaah... Uwaa! Mi omnisciencia, la lógica del universo... ¡Se están escapando... de mí!"""
st_020770_0030#0,"""...Se acabó. Se acabo. El núcleo Mothership del Oráculo ha perdido a Xion..."""
st_020770_0040#0,"""¿Entiendes, bastardo...? Lo que ustedes han hecho... ¿entienden?"""
st_020770_0050#0,"""¿Qué perder a Xion, que era insustituible para el universo, significaba?! ¿Ese significado? ¿Este significado?"""
st_020770_0060#0,"""Tu bastardo, bastardos bastardos, estaba en mis manos...!"""
st_020770_0070#0,"""...Controles, todo restaurado! Mecanismos de Nave, todos los valores normales! Todos los controles funciónan!"""
st_020770_0080#0,"""¿Qué !? ...¡¿Que es esto?!"""
st_020770_0090#0,"""Cuando Xion desapareció, ahora, en lugar de cálculos..."""
