un_020640_0010#0,"""Conseguimos hacer todo el camino de vuelta aquí, el Sanctum del Dragón. Patty a su servicio!"""
un_020640_0020#0,"""Lo que acabas de decir no tiene nada que ver con nada, pero lo que sea, Tea aquí."""
un_020640_0030#0,"""Presentándome a mí y donde estamos al mismo tiempo, dos pájaros de un tiro, ¿verdad?"""
un_020640_0040#0,"""Pero aún así, los terrenos sagrados para el Dragonkin, este santuario del Dragón, nunca esperé poder entrar aquí."""
un_020640_0050#0,"""Tienes razón, podemos estar aquí para deshacernos de Dragonkin infectado por Darkers, pero supongo que eso significa que confían en nosotros."""
un_020640_0060#0,"""La razón por la que los Dragonkin son capaces de confiar en nosotros es realmente todo por ti."""
un_020640_0070#0,"""Debido a que el Dragonkin ancestral te ha conocido, también han permitido que otros ARKS entren en esta área."""
un_020640_0080#0,"""Esos son resultados que creo que debería estar orgulloso, pero desde la perspectiva de los más altos, podría ser sospechoso."""
un_020640_0090#0,"""Yeah, Eso es tan grosero, tú eres el que se deshizo del rencor del Dragón contra nosotros, ¡piensas que sería encomiable!"""
un_020640_0100#0,"""Pero aún así, no se puede bajar la guardia! No es que todos los Dragonkin sean amistosos, esa mujer dijo algo así."""
un_020640_0110#0,"""Todavía hay un montón de Dragonkin que ven ARKS como un enemigo, así que ten cuidado al avanzar por aquí!"""
un_020640_0120#0,"""Después de eso, estábamos aburridos hasta las lágrimas se dieron conferencias durante casi una hora sobre el Dragonkin."""
