un_020140_0010#0,"""Hola. Parece que estás dando tu mejor esfuerzo."""
un_020140_0020#0,"""Hablando de eso, ¿has oído hablar de este tipo de arma?"""
un_020140_0030#0,"""Esto es una katana. Es el tipo de arma que Regius domina, el Primero de los tres heroes es el más hábil con ella."""
un_020140_0040#0,"""Parece que Regius finalmente ha decidido empezar a enseñar a los ARKS de nivel inferior."""
un_020140_0050#0,"""Otras palabras, directamente del propio Regius. No estoy en la capacidad donde es algo que puede estar orgulloso todavía."""
un_020140_0060#0,"""De acuerdo, te enseñaré una cualidad especial sobre la katana."""
un_020140_0070#0,"""Para el tipo de arma la cosa más importante, es um, el tiempo."""
un_020140_0080#0,"""Tome una respiración profunda y luego cortar todo a la vez. Al mismo tiempo con su respiración, y realizar su ataque juntos."""
un_020140_0090#0,"""...O algo así. No es algo que pueda enseñarte, se necesita mucha práctica."""
un_020140_0100#0,"""Si usted no cordina su respiración, entonces su ataque sera debil y su katana podría ser una almohada."""
un_020140_0110#0,"""Pero una vez que entiendes eso, el potencial de ataque es incomparable. De todos modos, usted debe intentarlo."""
