un_025070_0010#0,"""Hm? ¿Por qué me quedé en silencio mientras recorría la línea de tiempo hace una década?"""
un_025070_0020#0,"""Dos razones. Primero... No quería enojar a Xion."""
un_025070_0030#0,"""Ella fue la que borra los registros. Ella no habría hecho eso si no hubiera implicado algo que pudiera ponerla en peligro."""
un_025070_0040#0,"""Suponiendo que era correcto, ella probablemente nos hubiera quitado si ella hubiera sabido lo que estábamos haciendo. no tuve elección."""
un_025070_0041#0,"""Apuesto que inicialmente ella rastreó cada movimiento a través de Clarissa. Pero ahora, ella solo te vigila con relativa precaución."""
un_025070_0042#0,"""¿O es que ya no está interesada en ti? Cualquiera que sea el caso, si yo fuera a aparecer no hay que decir lo que haría."""
un_025070_0050#0,"""Ella es básicamente como mi... mamá. No podría ocultarle mis intenciones."""
un_025070_0060#0,"""En cuanto a la segunda razón, bien..."""
un_025070_0070#0,"""Ngh... Esto es difícil de expresar. Se siente ... desconcertante."""
un_025070_0080#0,"""¿Sabes cómo cuando haces algo que no se supone que debes hacer, tienes esa mirada? Es muy incómodo."""
un_025070_0090#0,"""Por supuesto que no estamos haciendo nada malo, pero... se siente similar, y lo hace difícil para mí."""
