un_020510_0010#0,"""Ah, Hola camarada..."""
un_020510_0020#0,"""Oh, no es nada. Solo estaba practicando con otra clase pero..."""
un_020510_0030#0,"""¿Algo está mal, Ohza? ¿Estás durmiendo?"""
un_020510_0040#0,"""Hay tantas cosas que Lisa quiere matar. Lisa ya mató a todos los enemigos delante de nosotros."""
un_020510_0050#0,"""Oya oya? ¿Estaba hablando contigo? Bueno, eso tiene sentido entonces."""
un_020510_0060#0,"""Um, ¿No crees que estás exagerando un poco Lisa?"""
un_020510_0070#0,"""¿Crees? El enemigo es el enemigo, así que no importa cuánto de su sangre salpique, ¿verdad?"""
un_020510_0080#0,"""Ah, No se preocupe. Sólo estamos practicando, por lo que Lisa no se llevará demasiado lejos y accidentalmente dispararle. A Lisa le gritaban antes."""
un_020510_0090#0,"""Así que relájate un poco, Ohza. Sólo coopere con Lisa para matar a tooooodos nuestros enemigos."""
un_020510_0100#0,"""Bueno, como un duo de Hunter / Ranger, suena bastante bien, pero..."""
un_020510_0110#0,"""¡Exactamente! ¡Vamonos! Si no matamos mucho más, entonces no podemos llamarla práctica, ¿verdad?"""
un_020510_0120#0,"""Se supone que esto es sólo una práctica grupal, no es como si hubiéramos venido aquí por genocidio. Pero no creo que realmente le importe."""
un_020510_0130#0,"""Si esto es lo que Ranger es como, podría ser mejor emparejar con un Force después de todo."""
