un_025170_0010#0,"""Umm, Xiao. ¿No dijiste antes que los Photoners eran existencias que podían manipular los Photons?"""
un_025170_0020#0,"""Entonces, ¿por qué los Photoners crearon a los ARKS?"""
un_025170_0030#0,"""Los Photoners podrían usar Photons, ¿verdad? No creo que necesitaran salir de su camino para crear a los ARKS."""
un_025170_0040#0,"""...su forma de llegar directamente al punto, da miedo."""
un_025170_0050#0,"""Oh, Me elogiado por primera vez?"""
un_025170_0060#0,"""Su ausencia de miedo es tedioso."""
un_025170_0070#0,"""Bueno, la respuesta es simple. Los Photoners crearon ARKS porque ya no podían usar Photons."""
un_025170_0080#0,"""¿Ya no podían usar Photons?"""
un_025170_0090#0,"""Sí, ya no más. Los Photoners lucharon y de alguna manera lograron sellar a [Profound Darkness]."""
un_025170_0100#0,"""Sin embargo, el precio era su poder para usar Photons. Perdieron su contramedida contra los Darkers."""
un_025170_0110#0,"""Así que crearon ARKS. Para que tomaran su lugar en la lucha contra los Darkers."""
un_025170_0120#0,"""Bueno, ARKS fue secuestrado por Luther, pero de alguna manera lo derrotó."""
un_025170_0130#0,"""Y ahora, las cosas son bastante agitado. ¿captas todo eso?"""
un_025170_0140#0,"""Hmm... Si los ARKS son seres artificiales, ¿Entonces soy un clon?"""
un_025170_0150#0,"""No, no exactamente. Ustedes tienen sus propios madres y padres."""
un_025170_0160#0,"""Los únicos ARKS nacidos de un tubo de ensayo son los primeros del primero.... por supuesto, hay excepciones."""
un_025170_0170#0,"""Nnn, No lo entiendo ... ¿No parece un poco precipitado por parte de los supervisores?"""
un_025170_0180#0,"""...Podrías ser más realista de lo que soy. Piensas como un político."""
un_025170_0190#0,"""...De vuelta a la historia. Los Photoners y Luther esperaban una mutación súbita, creo."""
un_025170_0200#0,"""¿Una mutación repentina?"""
un_025170_0210#0,"""Sí. Estaban esperando el nacimiento de ARKS con grandes talentos. Huey y Theodore son buenos ejemplos."""
un_025170_0220#0,"""A pesar de que el nacimiento de Newman completamente incapaz de influir en Photons hace apariencia."""
un_025170_0230#0,"""Ah, veías mi camino para eso. Eres terrible."""
un_025170_0240#0,"""Pero, dehay lo que llamamos una mutación."""
un_025170_0250#0,"""Incluso en un entorno perfectamente controlado, se produce una desviación. Es un misterio de la naturaleza."""
