un_025050_0010#0,"""oh? <%me>..."""
un_025050_0020#0,"""¿Qué pasa, Quna? ¿Perdió su nervio?"""
un_025050_0030#0,"""...No estoy de humor.<br>Nos vemos despues."""
un_025050_0040#0,"""Parece que le concediste la excusa perfecta para escapar, <%me>."""
un_025050_0050#0,"""...Sigue oviendo tus labios, y te ayudaré a callar... permanentemente."""
un_025050_0060#0,"""Haha, es una broma. Con Luther desaparecido, ya no tengo prisa por morir."""
un_025050_0070#0,"""...explicar."""
un_025050_0080#0,"""Los Photoners son una raza antigua. Incluso con su avanzada tecnología, sería imposible mantener sus cuerpos originales de esa época."""
un_025050_0090#0,"""La pregunta lógica, entonces, ¿de dónde sacó Luther su cuerpo?"""
un_025050_0100#0,"""...La respuesta está aquí. Se deslizó dentro y fuera de los cadáveres de ARKS."""
un_025050_0110#0,"""Cuando su cuerpo actual empezaba a fallar, se trasladaba a otro... como Dark Falz."""
un_025050_0120#0,"""Ah la ironía... que resultó ser un Dark Falz al final."""
un_025050_0125#0,"""¿Eres tú también uno de nosotros? ¿Una creación artificial?"""
un_025050_0130#0,"""Está bien. Soy uno de los primeros clones del tipo Casra, modelados después del héroe tardío, de los primeros experimentos."""
un_025050_0140#0,"""La razón por la cual no fuimos producidos en masa como el tipo Claris Claes fue, bueno... no somos muy cooperativos."""
un_025050_0150#0,"""El Casra original siempre fue muy rebelde para él, por lo que Luther tuvo que tomar el control directo, o eso he oído."""
un_025050_0160#0,"""Ah, Pero por favor no me malinterpreten. No estoy apelando a su simpatía sólo porque compartimos un pasado similar."""
un_025050_0170#0,"""Yo fui quien diseñó el Proyecto de Dragón Biosintético. Eso me convierte en el objetivo legítimo de tu venganza, Lady Quna."""
un_025050_0180#0,"""Soy además responsable de no prever las acciones de Luther, y de permitir así esos experimentos inhumanos, aunque indirectamente."""
un_025050_0190#0,"""...Héroe Casra. ¿Por qué no ocultaste la inteligencia con respecto al dragón artificial?"""
un_025050_0200#0,"""Su M.O. Es secretamente disponer de esos datos, y sin embargo, cuando estaba en control, todo se filtró\u3000incluyendo los experimentos clasificados..."""
un_025050_0210#0,"""Es como si tuvieras la intención de exponer sus secretos oscuros ... ¿por qué harías tal cosa?"""
un_025050_0220#0,"""Hmm, No sé qué me sucedió."""
un_025050_0230#0,"""...Realmente me pone nervioso."""
un_025050_0240#0,"""Bueno, parece que tengo que vivir otro día."""
un_025050_0250#0,"""1. ¿Fue todo eso realmente cierto?"""
un_025050_0260#0,"""2. ¿No crees que fuiste demasiado lejos?"""
un_025050_0270#0,"""¿Quién puede decir? Lo dejo a su imaginación para decidir la verdad de la ficción."""
un_025050_0280#0,"""¿Crees que sí? Pero yo estaba siendo bastante serio."""
un_025050_0290#0,"""Pero supongo que puedo haber dicho un poco. Por alguna razón, me aflojo a tu alrededor. Es un verdadero problema."""
un_025050_0300#0,"""Ahora, si me disculpas, será mejor que me vaya de aquí antes de que yo diga otra cosa que no deberíera decir. Saludos."""
