IncidentJsApcBegin#0,"""APC 공동 전투 시작"""
IncidentJsApcSuccess#0,"""APC 공동 전투 성공"""
IncidentJsApcFailure#0,"""APC 공동 전투 실패"""
IncidentJsApcBeginEvo#0,"""APC 공동 전투 발전 시작"""
IncidentJsApcSuccessEvo#0,"""APC 공동 전투 성공"""
IncidentJsApcBegin#1,"""/mn2 /ci1 2 오, 마침 잘 왔군.<br>미안하지만 조금만 도와주겠어?"""
IncidentJsApcSuccess#1,"""/mn15 /ci2 2 휴, 살았다!<br>에코가 답례품을 가져오라고<br>해서 말이야……곤란했다니까."""
IncidentJsApcFailure#1,"""이 정도로 당하면<br>조금 버겁군……<br>미안하지만 나는 귀환하겠다."""
IncidentJsApcBeginEvo#1,"""()"""
IncidentJsApcSuccessEvo#1,"""/mn15 /ci2 2 휴, 살았다!<br>에코가 답례품을 가져오라고<br>해서 말이야……곤란했다니까."""
IncidentJsApcBegin#2,"""/mn2 /ci1 2 오, 마침 잘 왔군.<br>미안하지만 조금만 도와주겠어?"""
IncidentJsApcSuccess#2,"""/mn15 /ci2 2 휴, 살았다!<br>에코가 답례품을 가져오라고<br>해서 말이야……곤란했다니까."""
IncidentJsApcFailure#2,"""이 정도로 당하면<br>조금 버겁군……<br>미안하지만 나는 귀환하겠다."""
IncidentJsApcBeginEvo#2,"""()"""
IncidentJsApcSuccessEvo#2,"""/mn15 /ci2 2 휴, 살았다!<br>에코가 답례품을 가져오라고<br>해서 말이야……곤란했다니까."""
IncidentJsApcBegin#3,"""/mn13 /ci1 2 우르크에게 줄 답례를……앗,<br>죄송합니다……<br>잠시 힘을 빌려주시겠습니까?"""
IncidentJsApcSuccess#3,"""/mn24 /ci2 2 덕분에 살았습니다. 감사합니다.<br>우르크에게 줄 답례 생각으로 가득했군요.<br>더 조심해야겠습니다."""
IncidentJsApcFailure#3,"""()"""
IncidentJsApcBeginEvo#3,"""()"""
IncidentJsApcSuccessEvo#3,"""()"""
IncidentJsApcBegin#4,"""/mn13 /ci1 2 우르크에게 줄 답례를……앗,<br>죄송합니다……<br>잠시 힘을 빌려주시겠습니까?"""
IncidentJsApcSuccess#4,"""/mn24 /ci2 2 덕분에 살았습니다. 감사합니다.<br>우르크에게 줄 답례 생각으로 가득했군요.<br>더 조심해야겠습니다."""
IncidentJsApcFailure#4,"""()"""
IncidentJsApcBeginEvo#4,"""()"""
IncidentJsApcSuccessEvo#4,"""()"""
IncidentJsApcBegin#5,"""/mn38 /ci2 2 오, 좋은 때에 왔네!<br>나와 사랑하는 아이들의 디저트를 위해<br>조금 도와주지 않겠나?"""
IncidentJsApcSuccess#5,"""/mn37 /ci2 2 고마워, 마이 프렌드!<br>내 아이들도 기뻐하고 있어!<br>그럼 또 만나자!"""
IncidentJsApcFailure#5,"""()"""
IncidentJsApcBeginEvo#5,"""()"""
IncidentJsApcSuccessEvo#5,"""()"""
