Title#0,"""【深遠なる闇】襲来"""
Explanation#0,"""復活した【深遠なる闇】が<br>惑星ナベリウス上空に襲来し<br>地上に向けての侵攻を開始した。<br><%me>は<br>不退転の覚悟で【深遠なる闇】との<br>戦いに臨む。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000制限時間の経過"""
StoryExplanation#0,"""復活した【深遠なる闇】が惑星ナベリウス上空に<br>襲来し、地上に向けての侵攻を開始した。<br><%me>は<br>不退転の覚悟で【深遠なる闇】との戦いに臨む。"""
SimpleExplanation#0,"""【深遠なる闇】の撃破"""
Area0S#0,"""Небо Набериуса"""
Area0L#0,"""Небо Набериуса: Шаттл"""
Area1S#0,"""壊世の果て"""
Area1L#0,"""壊世の果て"""
Area1S#1,"""Точка возврата"""
Area1L#1,"""Точка возврата"""
NpcComMsg1#0,"""Вы будете доставлены на фронт<br>в ближайшее время. Ваша цель<br>заключается в формировании пути<br>к [Глубинная Тьма] посредством<br>победы над Дарк Фальц [Дабл]."""
NpcComMsg2#0,"""Этот Дарк Фальц... мы даже<br>не можем понять на сколько он<br>силён. Будьте осторожны, и,<br>пожалуйста, вернитесь к нам<br>в целости и сохранности..."""
NpcComMsg1#1,"""Вы открыли путь к<br>[Глубинная Тьма]. Вам нужно<br>только лишь ослабить противника."""
NpcComMsg2#1,"""У нас нет подробных распоряжений<br>или инструкций для вас. Смело<br>сражайтесь за жизнь...<br>Это Приказ. Это приказ!"""
