name_7008#0,"""Rossa."""
ssn_014120_0001#0,"""Parece que te estás acostumbrando."""
ssn_014120_0002#0,"""Tengo que pedirte un favor, si no te importa."""
ssn_014120_0101#0,"""Bien, hablaré con usted rápidamente."""
ssn_014120_0102#0,"""En Halfa hay contenedores por todas partes."""
ssn_014120_0103#0,"""Los ARKS lo abandonaron durante una operación, o alguien lo dejó atrás."""
ssn_014120_0104#0,"""Otros salen de la tierra o caen del cielo, pero hay muchos más."""
ssn_014120_0105#0,"""¿Te has dado cuenta de que hay un contenedor especial que es de un color diferente a los demás?"""
ssn_014120_0106#0,"""No sé quién lo puso ahí, es una de las siete maravillas de Halfa."""
ssn_014120_0107#0,"""Voy a necesitar tu ayuda con esa investigación. Necesito que encuentres todos los contenedores que puedas."""
ssn_014120_0108#0,"""Sólo hay que encontrar un lado y ver lo que hay dentro. ¿Verdad? Fácil, ¿verdad?"""
ssn_014120_0109#0,"""¡Bueno, cuento con usted!"""
ssn_014120_0201#0,"""Ya veo. Puedes hablar conmigo si te apetece."""
ssn_014120_0301#0,"""Te estás haciendo más fuerte a cada minuto. Cuento con usted."""
ssn_014120_0302#0,"""Y Crawford parece impresionado contigo. Bueno, ¡Sigue con el buen trabajo!"""
ssn_014120_0401#0,"""Hmm. Como se esperaba, esta misión va a ser dificil."""
ssn_014120_0402#0,"""¡Pero vas a estar bien! Estamos aquí para apoyarte."""
ssn_014120_0403#0,"""Bueno, ¡hola!"""
