name_7662#0,"""Dantre"""
ssn_011121_0001#0,"""เอาล่ะ มาคุยกันเถอะ"""
ssn_011121_0101#0,"""อืม...<br>ดูเหมือนว่า Class จะไม่ใช่ Hunter นะ"""
ssn_011121_0102#0,"""ถ้าอยากเรียนรู้วิธีการต่อสู้จากฉันล่ะก็ ต้องไปเปลี่ยน Class เป็น Hunter ที่ Class Counter ก่อนนะ"""
ssn_011121_0103#0,"""แล้วก็อย่าลืมเรียน Class Skill ของ Hunter มาด้วยล่ะ!"""
ssn_011121_0104#0,"""...ก็ในเมื่อมาถึงนี่แล้ว จะเล่าเรื่อง Hunter ให้ฟังหน่อยก็แล้วกัน"""
ssn_011121_0201#0,"""Hunter เป็น Class ที่โดดเด่นเรื่องการต่อสู้ระยะประชิด!"""
ssn_011121_0202#0,"""ป้องกันการโจมตีของศัตรูหรือหลบด้วย Step... แล้วสวนกลับด้วย Counter อันทรงพลัง! นั่นแหละหัวใจหลักของสไตล์การต่อสู้ของ Hunter"""
ssn_011121_0203#0,"""ถ้าใช้ Class Skill ได้ดี ก็จะสามารถเข้าประชิดศัตรูและสวนกลับทุกอย่างที่พวกมันโจมตีมาได้"""
ssn_011121_0204#0,"""อย่างแรกเลย ขอแนะนำให้เรียนรู้ 'Massive Hunter' นะ"""
ssn_011121_0205#0,"""ฉันจะมอบหมายเป้าหมายให้ จะได้ไปลองใช้ดู!"""
ssn_011121_0300#0,"""แน่ใจเหรอ...<br>งั้น ไว้ตัดสินใจจะเอาจริงเมื่อไหร่ก็ค่อยกลับมาหาฉันแล้วกัน!"""
