name_7662#0,"""Dantre"""
ssn_011120_0010#0,"""Hey, a new face!<br>...Yep, you definitely look like a new arrival."""
ssn_011120_0020#0,"""Come see me once you've honed your skills a little!"""
ssn_011120_0030#0,"""You came! I'm Dantre, the melee Class training instructor!"""
ssn_011120_0040#0,"""Hmm, you've been practicing, haven't you? I can tell just by the way you're holding yourself!"""
ssn_011120_0045#0,"""If you're looking to learn the art of battle, I've got plenty to share. Now, which Class do you want me to teach you about?"""
ssn_011120_0050#0,"""You sure...?<br>Well, come back and see me when you decide to get serious!"""
ssn_011120_0060#0,"""Don't neglect your training!"""
ssn_011120_0070#0,"""Keep practicing and gaining experience so you can become a full-fledged ARKS!"""
ssn_011120_0101#0,"""So, feeling any stronger?"""
ssn_011120_0102#0,"""As you should have learned from your training, Class Skills are very important."""
ssn_011120_0103#0,"""But just learning them won't do you any good. The important thing is to actually use them!"""
