name_7662#0,"""Dantre"""
ssn_011131_0001#0,"""เอาล่ะ มาคุยกันเถอะ"""
ssn_011131_0101#0,"""อืม...<br>ดูเหมือนว่า Class จะไม่ใช่ Fighter นะ"""
ssn_011131_0102#0,"""ถ้าอยากเรียนรู้วิธีการต่อสู้จากฉันล่ะก็ ต้องไปเปลี่ยน Class เป็น Fighter ที่ Class Counter ก่อนนะ"""
ssn_011131_0103#0,"""แล้วก็อย่าลืมเรียน Class Skill ของ Fighter มาด้วยล่ะ!"""
ssn_011131_0104#0,"""...ก็ในเมื่อมาถึงนี่แล้ว จะเล่าเรื่อง Fighter ให้ฟังหน่อยก็แล้วกัน"""
ssn_011131_0201#0,"""Fighter เป็น Class ที่โดดเด่นเรื่องการต่อสู้ระยะประชิด! จุดเด่นที่สุดคือพลังโจมตีมหาศาล!"""
ssn_011131_0202#0,"""รูปแบบการโจมตีจะมีความหลากหลายมาก เหมาะกับการวาดลวดลายโชว์ฝีมือตอนต่อสู้สุดๆ!"""
ssn_011131_0203#0,"""แต่ในทางกลับกัน ระยะการโจมตีจะค่อนข้างสั้นและแคบ เลยต้องเข้าประชิดศัตรูถึงตัวให้ได้"""
ssn_011131_0204#0,"""ซึ่ง Class Skill จะช่วยเรื่องนี้ได้มาก! สกิลที่แนะนำให้เรียนเป็นอย่างแรกเลยก็คือ Limit Break"""
ssn_011131_0205#0,"""เอาเถอะ วิธีเรียนรู้ที่ดีที่สุดคือออกไปลุยจริง! ฉันจะมอบหมายเป้าหมายให้ จะได้ไปลองใช้ดู!"""
