st_055100_0010#0,"""오라버니.<br>하리엣이 왔습니다."""
st_055100_0020#0,"""왔구나, 하리엣.<br>아무도 따라오지 않았지?<br>아버님께 들키면 귀찮아져."""
st_055100_0030#0,"""아버님이 몹시 화나셨어요.<br>공무를 내팽개치고 뭘 하느냐고요.<br>달래는 제 입장도 생각해 주세요."""
st_055100_0040#0,"""애초에 나한테 공무를 맡기려는 생각부터<br>잘못됐다는 걸<br>아직도 모르는 건가."""
st_055100_0050#0,"""뭐, 그런 사소한 일은 됐어.<br>하리엣을 부른 이유는 따로 있어."""
st_055100_0060#0,"""마침내 완성했어.<br>소환술을 뛰어넘는 궁극의 비술.<br>시간 역행 소환을."""
st_055100_0070#0,"""시간 역행 소환……<br>정말 실행하실 생각인가요?"""
st_055100_0080#0,"""물론이지. 그러려고 연구를 거듭했어.<br>직접 해 보지 않으면 의미가 없어."""
st_055100_0090#0,"""이 세계의 기원……그걸 알아낸다.<br>원초의 존재를 여기로 불러내는 거야."""
st_055100_0100#0,"""그야말로 학문의 정점.<br>매력적이지 않아?"""
st_055100_0110#0,"""하리엣! 하리엣!<br>죽지 마……죽으면 안 돼!"""
st_055100_0120#0,"""그런 게 나올 줄은……<br>……내가 틀렸어!<br>죽어야 했던 건 나야……하리엣이 아니야!"""
st_055100_0130#0,"""돌아와, 하리엣!<br>하리엣만은……<br>사라져선 안 돼!"""
st_055100_0140#0,"""이번에는 뭘 본 건가요……?"""
st_055100_0150#0,"""루서가 후회하고 있었어"""
st_055100_0160#0,"""하리엣이……"""
st_055100_0170#0,"""루서가 후회하는 곁에서<br>하리엣 씨가……죽어 있었어요?"""
st_055100_0180#0,"""아니, 하리엣 씨는 살아 있잖아요!<br>지금도 구하러 온 거고요……!"""
st_055100_0190#0,"""하지만……방금 본<br>광경대로 하리엣 씨가<br>한 번 죽었던 거라면……"""
st_055100_0200#0,"""우리가 아는 하리엣 씨는<br>……대체 어떤 존재인 건가요?"""
name01#0,"""？？？"""
name02#0,"""？？？"""
