st_055070_0010#0,"""Mm... Ngh..."""
st_055070_0020#0,"""Awake, are we?"""
st_055070_0030#0,"""This place, it's--!"""
st_055070_0040#0,"""Come now, Harriet. Don't struggle. It's okay, nobody's coming."""
st_055070_0050#0,"""I'll soon find a way to finish this without using you. I will find a way. I have to."""
st_055070_0060#0,"""Brother? Just what are you talking about? What is it you are trying to do?"""
st_055070_0070#0,"""Isn't it obvious? My goal is to obtain omniscience. That... and only that."""
st_055070_0080#0,"""Who... are you?"""
st_055070_0090#0,"""What are you talking about, Harriet?<br>It's me. Luther."""
name01#0,"""???"""
name02#0,"""???"""
