st_055030_0010#0,"""……바루나 씨, 괜찮으세요?"""
st_055030_0020#0,"""……걱정 마십시오.<br>받아들이기 어렵지만 받아들일 수밖에 없습니다.<br>루서 님이 제정신을 잃었다는 사실을."""
st_055030_0030#0,"""하리엣 님의 실종은 비밀로 했습니다.<br>그 사실이 알려지면<br>우리나라의 기반이 순식간에 무너집니다."""
st_055030_0040#0,"""따라서 수색은<br>남몰래 진행해야 합니다.<br>아시겠습니까, 수호휘사."""
st_055030_0050#0,"""현장을 본 저희끼리<br>해결할 수밖에 없다는 거네요."""
st_055030_0060#0,"""어디로 갔는지 짐작 가는 곳이 있나요?"""
st_055030_0070#0,"""루서 님은 원래 비밀이 많은 분입니다.<br>하리엣 님이라면 몰라도 저는<br>전혀 짐작할 수 없습니다."""
st_055030_0080#0,"""하지만……이동한 흔적은 찾았습니다."""
st_055030_0090#0,"""쿠엔트 신왕도 북동쪽 산맥에<br>확인되지 않은 마신성이 소환됐습니다."""
st_055030_0100#0,"""날개 달린 낯선 마물종을<br>만들어 낸다는 보고도 있었습니다.<br>아마도……"""
st_055030_0110#0,"""루서가 이동하면서 소환한 마신성이군요."""
st_055030_0120#0,"""저는 하리엣 님의 부관입니다.<br>왕이 없다는 사실을 들키지 않도록<br>나랏일을 처리해야 합니다."""
st_055030_0130#0,"""……부탁해도 되겠습니까, 수호휘사."""
st_055030_0140#0,"""반드시 구해 올게"""
st_055030_0150#0,"""서로 힘내자"""
st_055030_0160#0,"""……잘 부탁드립니다."""
name01#0,"""？？？"""
name02#0,"""？？？"""
