st_055020_0010#0,"""으……으으윽……!"""
st_055020_0020#0,"""왜지!<br>이런 일을 시키려고<br>이 아이를 만든 게 아니야!"""
st_055020_0030#0,"""기다려!<br>모든 것을 알 수만 있다면……<br>그런 어리석은 수단을 쓰지 않아도……!"""
st_055020_0040#0,"""왜지! 어째서 대답하지 않아, 시온!<br>그 답밖에 없다고 말하는 건가!"""
st_055020_0050#0,"""아니야, 아니야 아니야 아니야 아니야!<br>이런 답은……틀렸어!"""
st_055020_0060#0,"""헉!<br>헉……헉……하아……!"""
st_055020_0070#0,"""……그래, 맞아.<br>내가 전지에 이른다……<br>그리고, 그리고……!"""
st_055020_0080#0,"""무, 무슨 일이세요, 루서.<br>문도 두드리지 않고 들어오시다니……"""
st_055020_0090#0,"""루서……오라버……니?"""
st_055020_0100#0,"""하리엣……나의 최고 걸작……<br>그 몸이 있어야 할 곳은 여기가 아니야."""
st_055020_0110#0,"""오라버니!?"""
st_055020_0120#0,"""꺄아아아악!"""
st_055020_0130#0,"""방금 하리엣 씨의 비명!?<br><%me> 씨!"""
st_055020_0140#0,"""하리엣 님!"""
st_055020_0150#0,"""저건……루서 님입니까?"""
st_055020_0160#0,"""이 반응은 다크 펄스!?<br>설마 에피메라를 쓴 탓에<br>깨어난 건가요!"""
st_055020_0170#0,"""……후후, 하하하, 하하하하하!<br>안 넘겨, 내 최고 걸작은 넘기지 않아!<br>전지를 손에 넣는 그날까지……!"""
st_055020_0180#0,"""기, 기다려!"""
st_055020_0190#0,"""이럴 수가……하리엣 님이……<br>루서 님에게 끌려가다니……<br>대체 어떻게 된 거지……!"""
name01#0,"""？？？"""
name02#0,"""？？？"""
