st_055120_0010#0,"""아직……아직이야!<br>에피메라만 있으면……<br>내 목적은……!"""
st_055120_0020#0,"""안 돼요, 저 녀석을 상대해도<br>몇 번이고 다시 소환할 거예요!<br>루서를 막아야 해요!"""
st_055120_0030#0,"""하리엣 씨?"""
st_055120_0040#0,"""……오라버니."""
st_055120_0050#0,"""아니, 루서."""
st_055120_0060#0,"""그 지혜와 힘을……<br>더는 나라와 백성을 위해서가 아니라<br>오직 자신을 위해 쓴다면……"""
st_055120_0070#0,"""제가……루서를 막겠습니다.<br>쿠엔트의 왕으로서……동생으로서!"""
st_055120_0080#0,"""하아아아앗!"""
st_055120_0090#0,"""하아, 하아……!"""
st_055120_0100#0,"""……그래, 이걸로 됐어.<br>하리엣."""
st_055120_0110#0,"""상대가 누구든 엄정히 처벌한다.<br>나라의 상징이 그 의지를 직접 보여 줘야<br>에피메라를 없앨 수 있어."""
st_055120_0120#0,"""루서……오라버니!<br>제정신으로 돌아오셨군요!"""
st_055120_0130#0,"""하하……재미있는 말을 하는구나.<br>평생 내가 저지른 일 중에<br>제정신인 때가 있기는 했나."""
st_055120_0140#0,"""오라버니……<br>어째서 이런 일을……!"""
st_055120_0150#0,"""붉은 사룡을 막을 때부터<br>이렇게 될 각오는 하고 있었어."""
st_055120_0160#0,"""에피메라는……마음을 삼켜 버려.<br>루츠도 그랬잖아."""
st_055120_0170#0,"""그렇다면 적어도……<br>나라와 하리엣의 앞날을 위한<br>밑거름이라도 되고 싶었어……"""
st_055120_0180#0,"""하리엣……<br>옳은 일을 한 거야."""
st_055120_0190#0,"""금기를 깨고 나라를 어지럽힌 자를<br>흔들림 없는 의지로 심판했어.<br>설령 그게 가족이라 해도."""
st_055120_0200#0,"""루서……오라버니……"""
st_055120_0210#0,"""내 욕심 때문에<br><%me> 쪽에 폐를 끼쳤네."""
st_055120_0220#0,"""폐를 끼친 김에 한 가지 부탁이 있어.<br>……내 동생을 잘 부탁해."""
name01#0,"""？？？"""
name02#0,"""？？？"""
