11_voice_NPC_5082_105#0,"""Si cumples con la disciplina, creo que la comunicación fuera del deber debe ser evitada."""
11_voice_NPC_5082_105#1,"""Si cumples con la disciplina, creo que la comunicación fuera del deber debe ser evitada."""
11_voice_NPC_5082_105#2,"""Si cumples con la disciplina, creo que la comunicación fuera del deber debe ser evitada."""
11_voice_NPC_5082_105#3,"""Creo que deberias tratar de hablar con otra persona, no soy muy buena para conversar con los demás."""
Purin_mb04_020#0,"""Hablar conmigo solo le quitara tiempo."""
11_voice_NPC_5082_105#4,"""Creo que deberias tratar de hablar con otra persona, no soy muy buena para conversar con los demás."""
Purin_mb05_020#0,"""Hablar conmigo solo le quitara tiempo."""
11_voice_NPC_5082_105#5,"""Creo que deberias tratar de hablar con otra persona, no soy muy buena para conversar con los demás."""
Purin_mb06_020#0,"""Hablar conmigo solo le quitara tiempo."""
11_voice_NPC_5082_102#0,"""Creo que los Arks se basa mayoritariamente en el mérito y la disciplina."""
Purin_mb07_020#0,"""Es necesario vivir con normas."""
11_voice_NPC_5082_102#1,"""Creo que los Arks se basa mayoritariamente en el mérito y la disciplina."""
Purin_mb08_020#0,"""Es necesario vivir con normas."""
11_voice_NPC_5082_100#0,"""No te asustes por hacer<br>siempre lo mismo como de costumbre.<br>Ese es mi servicio como Administrador."""
Purin_mb09_020#0,"""Es todo lo que podemos hacer<br>sin ir al sitio."""
11_voice_NPC_5082_100#1,"""No te asustes por hacer<br>siempre lo mismo como de costumbre.<br>Ese es mi servicio como Administrador."""
Purin_mb10_020#0,"""Es todo lo que podemos hacer<br>sin ir al sitio."""
11_voice_NPC_5082_100#2,"""No te asustes por hacer<br>siempre lo mismo como de costumbre.<br>Ese es mi servicio como Administrador."""
Purin_mb11_020#0,"""Es todo lo que podemos hacer<br>sin ir al sitio."""
11_voice_NPC_5082_100#3,"""以前は、規律がおろそかと言いましたが<br>状況的に今のアークスには何より実力が<br>求められているようです。"""
Purin_mb12_020#0,"""その分、私たち管理官は規律に従い<br>動かねばなりません。<br>役割分担、というやつです。"""
11_voice_NPC_5082_100#4,"""以前は、規律がおろそかと言いましたが<br>状況的に今のアークスには何より実力が<br>求められているようです。"""
Purin_mb13_020#0,"""その分、私たち管理官は規律に従い<br>動かねばなりません。<br>役割分担、というやつです。"""
11_voice_NPC_5082_100#5,"""以前は、規律がおろそかと言いましたが<br>状況的に今のアークスには何より実力が<br>求められているようです。"""
Purin_mb14_020#0,"""その分、私たち管理官は規律に従い<br>動かねばなりません。<br>役割分担、というやつです。"""
11_voice_NPC_5082_100#6,"""現在、情報の整理や管理管制の調整を<br>行っている最中です。<br>しばらくお待ち下さい。"""
Purin_mb16zeno_020#0,"""……ただ、貴方にとっての不利益は<br>もうない、ということを保証します。<br>ご安心下さい。"""
11_voice_NPC_5082_100#7,"""情報の整理および管理官制の調整は<br>少しずつですが整備されてきました。"""
Purin_mb18_020#0,"""全ての対応が終わり次第<br>改めて連絡を致します。<br>もう少し、お待ち下さい。"""
11_voice_NPC_5082_100#8,"""情報の整理および管理官制の調整は<br>ようやく全ての対応が終わりました。"""
Purin_mb19_020#0,"""大きな変革となったため<br>多大な時間はかかりましたが<br>バックアップ体制は万全になりました。"""
Purin_mb19_030#0,"""新体制は、動き出したばかりです。<br>何か思うことがありましたら<br>いつでも申してください。"""
Purin_mb22_010#0,"""現状、新体制に変わりましたが<br>大きな問題は起きておりません。"""
Purin_mb22_020#0,"""混乱があるものと予想されましたが<br>そういったことも起きておらず<br>スムーズに変わることができました。"""
Purin_mb22_030#0,"""今後もこのような状態を保てるよう<br>気を引き締めていきます。"""
11_voice_NPC_5082_104#0,"""具合はいかがでしょうか？<br>貴方宛には、休息を取るようにと<br>管理者より連絡が入っております。"""
Purin_MB23_after_020#0,"""そのため、今は身体を休めてください。<br>新たな情報が入り次第<br>真っ先に貴方に知らせます。"""
11_voice_NPC_5082_100#9,"""……貴方にとって不利益なことは<br>もう起きないと、連絡したと思います。<br>私たちを信じて、どうかお待ちください。"""
Purin_mb24_010#0,"""如何なることがあろうとも<br>私たち、管理官は焦らず慌てずに<br>任務を遂行します。"""
Purin_mb24_020#0,"""またバックアップ体制は<br>新体制に移行したことにより<br>より強固になったと言えるでしょう。"""
11_voice_NPC_5082_100#10,"""ですから、どうか私たちを信じて<br>任務を全うして下さい。"""
Purin_MB24_after_010#0,"""万全の体制で挑んだつもりでしたが<br>改良すべき点がいくつかありました。"""
Purin_MB24_after_020#0,"""より安定した運用のためにも<br>前向きな検討を行っております。"""
11_voice_NPC_5082_100#11,"""質の向上に終わりはありません。<br>改善できる箇所は改善し<br>より強固な基盤を形成していきます。"""
Purin_mb25_010#0,"""管理権限を移行するにあたり<br>混乱が生じないように<br>現在、細かな調整を行っています。"""
Purin_mb25_020#0,"""急な変更というわけではなく<br>徐々に段階を経ての移行となります。"""
Purin_mb25_030#0,"""全ての対応が終わりましたら<br>改めて連絡させていただきますので<br>もう暫くお待ちください。"""
st01_010#0,"""二年前より進めていた管理体制の移行は<br>スムーズに進行し、現時点において<br>ほぼ滞りなく移行できています。"""
st01_020#0,"""そして、貴方の覚醒を受けて<br>体制変更は完了となります。"""
11_voice_NPC_5082_100#12,"""……戻ってくるのをお待ちしてました。<br>これからもよろしくお願いします。"""
11_voice_NPC_5082_100#13,"""アークスシップに新たに創設された<br>カフェについてですが<br>アークスも一部協力をしております。"""
st01_020#1,"""一般市民はもちろんのこと<br>憩いの場としても活用ください。"""
st01_030#0,"""任務は大切ではありますが<br>心身を癒やすことも大切なことです。"""
11_voice_NPC_5082_100#14,"""<%me>さん。<br>ようこそいらっしゃいました。"""
soubi_020#0,"""コレクトファイルの詳細について<br>改めて説明いたしますので<br>少々お時間よろしいでしょうか。"""
Title#0,"""Acerca de: 『Coleccion de archivo』"""
text01#0,"""Recibira una cantidad de plantillas<br>de parte de Pudding, y si consigues<br>todos los objetos de la lista, usted<br>puede conseguir el objeto de la<br>recompensa."""
text02#0,"""Seleccione el comando [Archivo de Recoleccion]<br>y seleccione la plantilla del objeto que desea obtener.<br>Usted puede poseer hasta 3 plantillas a la vez."""
text03#0,"""Los objetos requeridos se obtienen eliminando<br>al enemigo objetivo.<br><br>Si el objeto no cae durante la misión incluso si<br>destruye al enemigo, el calibre de los objetos<br>requeridos se acumulará según el número de<br>derrotas en el momento del éxito de la misión.<br>Si abandona la misión perdera el progreso.<br>Si el calibre llega a 100%, el objeto<br>efinitivamente caera en la siguiente mision.<br><br>※Los enemigos de Story Quest no cuentan."""
text04#0,"""Cuando obtines todos los objetos requeridos<br>el objeto de la recompensa lo otendra de inmediato.<br>si su inventario está lleno este quedara en tu Almace<br><br>SI deseas obtener el mismo objeto de nuevo, tendra que<br>esperaris para poder seleccionar la planilla.<br><br>Puedes acortar el tiempo de espera usando 60 SG."""
11_voice_NPC_5082_100#15,"""En cuanto a la teoria de Koffie de que los arks evolucionan a diario, estamos experimentando con varias cosas."""
st01_020#2,"""En cuanto a la teoria de Koffie de que los arks evolucionan a diario, estamos experimentando con varias cosas."""
st01_030#1,"""También es responsabilidad del administrador fácilitar el sistema de toda la organización."""
11_voice_NPC_5082_100#16,"""Debido a que los Arks evolucionan todos los días, estoy experimentando con varias cosas."""
