text00#0,"""『마그 장착 방법』에 대하여"""
text01#0,"""마그 장착 방법을 설명하겠습니다.<br><br>마그를 획득해도<br>장착하지 않으면 효과가 없습니다.<br>메뉴에서 마그 목록을 열고<br>원하는 마그를 선택해 「장착하기」를 선택하십시오.<br><br>마그를 장착하면 능력치 보정과<br>전투 지원을 비롯한 다양한 효과를<br>받을 수 있습니다.<br><br>펫을 장착하면 마그의 모습은 보이지 않지만<br>능력치 보정과 지원 효과는 모두<br>평소와 똑같이 받을 수 있습니다."""
11_voice_NPC_5050_101#0,"""네, 보고를 확인했습니다.<br>라이선스 수여 신청도 문제없습니다.<br>앞으로 더욱 활약해 주시길 기대하겠습니다."""
text02#0,"""……이것으로 규정에 따른 보고문은<br>마무리됩니다.<br>이제부터는 제 개인적인 말씀입니다."""
text03#0,"""마그는 스스로 생각하고 행동합니다.<br>모두 똑같이 성장하는 것이 아니라<br>소유자의 뜻을 헤아리며 성장합니다."""
text04#0,"""마그 육성에 관해서는 저도 자세히<br>알지 못하지만, 아크스 중에는<br>잘 아는 분이 계실 겁니다."""
text05#0,"""어쨌든 이제부터 마그는<br>당신과 운명을 함께할 존재입니다.<br>소중히 아껴 주십시오."""
linewindow0001#0,"""「마그 라이선스」를 획득했습니다."""
text100#0,"""『클라이언트 오더』에 대하여"""
text101#0,"""에코에게<br>클라이언트 오더가<br>발생했습니다.<br><br>에코는<br>게이트 에리어 아크스 카운터에 있습니다."""
tutorial02#0,"""한스에게<br>클라이언트 오더가<br>발생했습니다.<br><br>한스는<br>게이트 에리어 서쪽 퀘스트 카운터 앞에 있습니다."""
tutorial03#0,"""에메라인에게<br>클라이언트 오더가<br>발생했습니다.<br><br>에메라인은<br>숍 에리어 모뉴먼트 광장에 있습니다."""
tutorial04#0,"""이오에게<br>클라이언트 오더가<br>발생했습니다.<br><br>이오는<br>숍 에리어 모뉴먼트 광장에 있습니다."""
