st_012035_0005#0,"""【姉想いの弟】<br>仮テキスト"""
st_012035_0010#0,"""<%me> 씨<br>쿠나 씨, 들리십니까."""
st_012035_0020#0,"""계획대로 그 폭주룡은<br>스피어 아레나 안에<br>머물러 있는 것 같습니다."""
st_012035_0030#0,"""효과가 얼마나 있을지<br>모르겠지만…"""
st_012035_0040#0,"""…괜찮습니다.<br>노래가 들리는 동안은<br>저 녀석은 움직이지 않습니다."""
st_012035_0050#0,"""…그리고 한 가지 더<br>당사자 두 분께 전하고 싶은<br>이야기가 있습니다."""
st_012035_0060#0,"""수수께끼의 폭주룡이 점점 더 많아져서<br>그 하드레드가 폭주했다<br>그 원인에 대해서…"""
st_012030_om_0070#0,"""큭!?"""
st_012030_om_0080#0,"""결론부터 말씀드리자면.<br>연구실에는 매우 비인간적인 실험을<br>했던 흔적이 있었습니다."""
st_012030_om_0090#0,"""처음에는 조룡을 대상으로 했던 것 같지만<br>제대로 통제할 수 없어 폭주하기 시작하면서…"""
st_012030_om_0100#0,"""점차 실험의 대상은 제어가 용이한<br>사람의 몸이 된 것 같습니다.<br>이것만으로도 중대한 일입니다만…"""
st_012030_om_0110#0,"""…게다가 실험은 계속되고<br>사람이나 조룡 등의 피실험체에 가해지는<br>실험은 더욱 가혹해졌습니다."""
st_012030_om_0120#0,"""그 실험의 자세한 내용은<br>역시나 사라져 버렸지만<br>…대략적인 정보만으로 충분할 것입니다."""
st_012030_om_0130#0,"""하지만, 연구는 진전되지 않았습니다.<br>조룡은 쉽게 폭주하고, 인간은 한계를<br>좀처럼 넘지 못했다."""
st_012030_om_0140#0,"""그러던 중 하나의 사고가 일어났습니다."""
st_012030_om_0150#0,"""인간을 대상으로 할 예정이었던 새로운 실험이<br>그 용… 하드레드를 대상으로<br>진행되었던 것입니다."""
st_012030_om_0160#0,"""결과는 뻔했습니다.<br>하드레드는 원래부터 가지고 있던<br>그 힘을 폭주시켜 실험실을…"""
st_012030_om_0170#0,"""…사람에게 시킬 예정이었다."""
st_012035_0070#0,"""아뇨, 설명은 필요 없습니다<br>육망균형 카스라."""
st_012035_0080#0,"""저는 알고있어요… 아니<br>들어본 적이 있어요. 기억하고 있어요."""
st_012035_0090#0,"""연구실의 붕괴… 하드레드의 폭주…<br>비인도적인 인체실험…"""
st_012035_0100#0,"""아니, 그런 건 아무래도 좋아."""
st_012035_0110#0,"""하드레드가… 그 녀석이<br>저를 지키기 위해서, 자신의 몸을<br>버렸다는 것을…!"""
st_012035_0120#0,"""그런…가요.<br>그럼, 분투를 기대하곘습니다."""
st_012035_0130#0,"""갑시다<br><%me> 씨.<br>하드레드가 기다리고 있습니다."""
st_012035_0140#0,"""A.P.238/4/15/11:00"""
