st_012020_0005#0,"""【수상한 행동】<br>仮テキスト"""
st_012020_0010#0,"""…어라, 당신은."""
st_012020_0020#0,"""…육망균형, 카스라.<br>어째서 여기에."""
st_012020_0030#0,"""인사답네요, 쿠나 씨.<br>저도 당신과 마찬가지로 임무를 수행 중입니다.<br>그저 그뿐이에요."""
st_012020_0040#0,"""하지만 당신이 누군가와 팀을 이뤄<br>움직이다니, 드문 일도 다 있군요."""
st_012020_0050#0,"""게다가 그 상대가<br><%me> 씨라니.<br>뭔가 운명적이기까지 하네요."""
st_012020_0060#0,"""아는 사이?"""
st_012020_0070#0,"""왜 여기에?"""
st_012020_0080#0,"""아아, 경계할 필요는 없습니다.<br>저는 업무상 그녀와 마주칠 일도<br>있을 뿐입니다."""
st_012020_0090#0,"""아뇨, 그렇게 경계하지 않으셔도<br>괜찮습니다. 그저<br>아크스로서의 책무일 뿐이에요."""
st_012020_0100#0,"""그보다, 당신들도<br>그 폭주룡을 잡기 위해<br>이곳에 온 거겠죠?"""
st_012020_0110#0,"""시가지 중심부, 스피어 아레나<br>내부에서 그와 비슷한 파라미터가<br>확인됐다고 합니다."""
st_012020_0120#0,"""큭!<br>어째서 하필 그런 곳에…!"""
st_012020_0130#0,"""네, 이상한 일이죠."""
st_012020_0140#0,"""그곳은 지금 그 아이돌의<br>프로모션 장소로<br>쓰이고 있을 뿐인데요."""
st_012020_0150#0,"""다커가 들끓는 곳도 아닌데<br>그런 장소에 느닷없이 출현.<br>솔직히 의도를 읽을 수가 없네요."""
st_012020_0160#0,"""<%me> 씨.<br>혹시…"""
st_012020_0170#0,"""…목적은, 노래?"""
st_012020_0180#0,"""…서두르자"""
st_012020_0190#0,"""…그럴지도 모르겠네요.<br>이전에 출현했을 때의 행동을<br>생각하면…"""
st_012020_0200#0,"""스피어 아레나에<br>노래를 틀어 두면…<br>잠시 발을 묶어 둘 수 있을지도."""
st_012020_0210#0,"""…노래, 인가요."""
st_012020_0220#0,"""흠… 참 시적인 이야기지만<br><%me> 씨의<br>제안이기도 하니…"""
st_012020_0230#0,"""…알겠습니다.<br>그쪽은 제가 손을 써 보죠."""
st_012020_0240#0,"""당신들은 서둘러 현장으로.<br>자, 어서."""
st_012020_0250#0,"""…은혜는 잊지 않겠습니다.<br>육망균형 카스라."""
st_012020_0260#0,"""아뇨, 당신한텐<br>은혜 하나쯤 베풀어 두는 편이<br>여러모로 편하거든요."""
st_012020_0270#0,"""…서두르죠.<br>이번에는 놓칠 수<br>없으니까요."""
st_012020_0280#0,"""그럼, 미력이지만 저도<br>협력하겠습니다."""
st_012020_0290#0,"""…저를 감시할 생각인가요."""
st_012020_0300#0,"""어이쿠, 이상한 말씀을 하시네요.<br>감시당할 만한 짓이라도<br>하고 계신가요?"""
st_012020_0310#0,"""…좋을 대로 하시죠."""
st_012020_0320#0,"""A.P.238/4/15/10:30"""
skit01#0,"""The Uncontrollable Beast"""
skit02#0,"""제 9장 어긋난 커튼콜"""
skit03#0,"""The First Divide"""
skit04#0,"""제 9장 우상의 슈프레히콜"""
