st_013440_0001#0,"""A.P.238/4/9/12:30"""
st_013440_0010#0,"""r거기까지!<br>훌륭, 훌륭하다!<br>너희들의 움직이, 특히 잘 보여주었다!"""
st_013440_0020#0,"""…으음.<br>조금 부족한 성적이군!"""
st_013440_0030#0,"""하지만 이 전법 대회를 끝까지<br>해낸 그 의욕이 마음에 들었다!<br>그게 바로 아크스에게 필요한 것이다!"""
st_013440_0040#0,"""아쉽게도 상위 입상은 못했다<br>허나, 너희들의 마음가짐은<br>충분히 전달되었다!"""
st_013440_0060#0,"""불평할 수 없는 성적이다!<br>기획한 내 면목도 대단하군!<br>난 대단해! 내 혜안!"""
st_013440_0070#0,"""하지만 뭐어, 참가자인 너희들의<br>노력이 있었기에 가능한 성과다!"""
st_013440_0080#0,"""자, 돌아가도록 하지!<br>모두가 너를 기다리고 있…"""
st_013440_0100#0,"""…크윽!!<br>뭐지 이 느낌은…!"""
st_013440_0110#0,"""어, 어이 누구야…!<br>거기 누구 있잖아, 나와!"""
st_013440_0120#0,"""호오, 아크스 치고는 감이 날카롭군."""
st_013440_0130#0,"""방해가 되지 않도록 잘 숨었다고<br>생각하고 있었다만<br>아직 이 몸에 익숙치 않군."""
st_013440_0140#0,"""너, 너는…!"""
st_013440_0150#0,"""응? 내가 그렇게 이상한 얼굴을 하고 있나?<br>제대로 인간의 얼굴과 옷차림이라고<br>생각하고 있다만?"""
st_013440_0160#0,"""아아, 엿봐서 화가 난 걸까?<br>괜찮잖아, 닳는 것도 아닌데<br>재밌어 보여서 그만."""
st_013440_0170#0,"""게다가…"""
st_013440_0180#0,"""【거구】를 격퇴한 녀석을<br>직접 이 눈으로 보고 싶었거든."""
st_013440_0190#0,"""【거구】…<br>이 전의 다크 펄스…!"""
st_013440_0200#0,"""그렇게 경계하지 마<br>지금 이 자리에서 일을 벌릴<br>생각은 없어."""
st_013440_0210#0,"""그러니까 그렇게 으르렁 대지 말고<br>진정해, 진정.<br>금방 떠날 테니까."""
st_013440_0220#0,"""어, 어이!"""
st_013440_0230#0,"""왜. 난 돌아갈 건데<br>자살희망을 하는 게 아니면<br>어울려 줄 생각 없어."""
st_013440_0240#0,"""너… 그 얼굴은…<br>아니, 너, 너는 누구야…!"""
st_013440_0250#0,"""너희들의 적이야."""
st_013440_0260#0,"""아니, 정확히는 우리의 적이<br>너희들이라 해야 하나?"""
st_013440_0270#0,"""실은 여기서<br>만난 김에 겸사겸사<br>죽여버려도 괜찮다만…"""
st_013440_0280#0,"""어쨰서일까? 평온한 기분이<br>되었으니까, 그냥 넘어가도록 할게."""
st_013440_0290#0,"""그럼 이만.<br>다음에 만날 때는 아마 처음부터<br>죽여버릴 테니까 조심하도록 해."""
st_013440_0300#0,"""…어이 방금 봤지."""
st_013440_0310#0,"""저 말투… 저 분위기…<br>차원이 다른 위압감…<br>어이 파트너, 저 녀석…"""
st_013440_0320#0,"""다크 펄스…일지도 몰라"""
st_013440_0330#0,"""그 가면을 쓴 사람을 닮았어"""
st_013440_0340#0,"""역시 그런가, 그런건가…<br>직접 마주한 네가 그렇게 말한다면<br>그렇겠지…"""
st_013440_0350#0,"""아아, 응. 나베리우스에서 만났어<br>그 녀석과 비슷한 느낌이었어…"""
st_013440_0360#0,"""하지만… 이건 그것과 달리<br>저번의 그 다크 펄스처럼<br>위협적인 느낌이 있었지…"""
st_013440_0370#0,"""마치 그 자체와 상대하고 있다는<br>그런 느낌의…"""
st_013440_0380#0,"""…그런데, 어째선데.<br>어째서 저 얼굴을 하고 있는 거냐고…!"""
st_013440_0390#0,"""…미안. 좀 정신이 없어서.<br>이해할 수 없는 말만 늘어 놓았지."""
st_013440_0400#0,"""하하…<br>정말이지, 내 나쁜 예감은<br>잘 맞추네…"""
st_013440_0410#0,"""아니었으면 하는 것들만<br>백발 백중으로, 지긋지긋하게…"""
