name01#0,"""오자"""
name02#0,"""마루"""
name03#0,"""리사"""
name04#0,"""아핀"""
name05#0,"""파티"""
name06#0,"""티아"""
name07#0,"""사라"""
skit01#0,"""이 무기로 쓸어버려라<br>라는 뜻인가.<br>네게 맡기지."""
skit02#0,"""…이 무기를 써라<br>라는 뜻인 것 같아.<br>네게 맡길게."""
skit03#0,"""총좌 같은 건 멋지지 않아요.<br>리사는 직접 쏘고 싶으니까<br>그건 당신에게 맡길게요."""
skit04#0,"""이 총좌로 쓸어버리라는<br>의미려나, 이거.<br>…파트너, 맡겨둬!"""
skit05#0,"""어이쿠 총좌가 준비돼 있어!<br>이걸로 소탕하라는<br>신의 뜻이란 말인가!?"""
skit06#0,"""왜 방송처럼 하는거야…?<br>그리고, 신이 아니라 아크스의<br>뜻이라 생각하는데."""
skit07#0,"""그 총좌를 쓰라는 뜻이겠지.<br>난 쏘는 건 잘 못하니까 맡길게."""
skit01#1,"""/ci2 2 이 무기로 쓸어버려라<br>라는 뜻인가.<br>네게 맡기지."""
skit02#1,"""/ci2 2 …이 무기를 써라<br>라는 뜻인 것 같아.<br>네게 맡길게."""
skit03#1,"""/ci2 2 총좌 같은 건 멋지지 않아요.<br>리사는 직접 쏘고 싶으니까<br>그건 당신에게 맡길게요."""
skit04#1,"""/ci2 2 이 총좌로 쓸어버리라는<br>의미려나, 이거.<br>…파트너, 맡겨둬!"""
skit05#1,"""/ci2 2 어이쿠 총좌가 준비돼 있어!<br>이걸로 소탕하라는<br>신의 뜻이란 말인가!?"""
skit06#1,"""/ci2 2 왜 방송처럼 하는거야…?<br>그리고, 신이 아니라 아크스의<br>뜻이라 생각하는데."""
skit07#1,"""/ci2 2 그 총좌를 쓰라는 뜻이겠지.<br>난 쏘는 건 잘 못하니까 맡길게."""
