un_012580_0005#0,"""【숨겨져 있던 이유는】<br>仮テキスト"""
un_012580_0010#0,"""요, 동지. 자네도 무사해 보여서 다행이군."""
un_012580_0020#0,"""아무래도 지난번 전투는<br>상당히 치열했으니까.<br>우선은 무사한 걸 기뻐해야지."""
un_012580_0030#0,"""…하지만, 신경 쓰이는 게 있어.<br>잠깐 들어 주겠나?"""
un_012580_0040#0,"""어째서 나베리우스에서<br>그 다크 펄스가<br>출현한 건지."""
un_012580_0050#0,"""그건 【거구】라고 불리고 있었다.<br>40년 전에 격파했다고<br>알려져 있던 다크 펄스지."""
un_012580_0060#0,"""그게 부활한 거라면<br>어째서지? 무슨 일이 있었던 거지?"""
un_012580_0070#0,"""아크스 전체가 아직 혼란스러운 데다<br>나베리우스 관련으론 비밀 정보도 많아.<br>너무 단편적이라 상상만으로는 한계가 있군."""
un_012580_0080#0,"""답답하군…<br>뭔가 불편한 진실을 숨기고 있는 건가?"""
un_012580_0090#0,"""…이런, 미안하군.<br>지나치게 의심부터 해 봐야<br>소용없겠지."""
un_012580_0100#0,"""그럼 난 가 보겠다.<br>서로 조심하자!"""
