st_012035_0005#0,"""【누나를 아끼는 동생】<br>仮テキスト"""
st_012035_0010#0,"""<%me> 씨, 쿠나 씨.<br>들리시나요."""
st_012035_0020#0,"""노린 대로, 그 폭주룡은<br>스피어 아레나 안에<br>머물러 있는 모양입니다."""
st_012035_0030#0,"""효과가 언제까지 갈지는<br>모르겠지만…"""
st_012035_0040#0,"""…괜찮습니다.<br>노래가 들리는 동안은<br>저 녀석은 움직이지 않습니다."""
st_012035_0050#0,"""…그리고 하나 더,<br>당사자인 두 분께 전해 드리고 싶은<br>이야기가 있습니다."""
st_012035_0060#0,"""수수께끼의 폭주룡이 점점 수를 늘리고<br>그 하드레드가 폭주하게 된<br>원인에 대해서…"""
st_012035_0070#0,"""아뇨, 설명은 필요 없습니다.<br>육망균형 카스라."""
st_012035_0080#0,"""저는 알고 있어요… 아니<br>들은 적이 있어요. 기억하고 있어요."""
st_012035_0090#0,"""연구실의 붕괴… 하드레드의 폭주…<br>비인도적인 인체실험…"""
st_012035_0100#0,"""아니, 그런 건 아무래도 좋아."""
st_012035_0110#0,"""하드레드가… 그 녀석이<br>저를 지키기 위해<br>자기 몸을 버렸다는 것만…!"""
st_012035_0120#0,"""…그렇습니까.<br>그럼, 분투를 기대하겠습니다."""
st_012035_0130#0,"""가죠<br><%me> 씨.<br>하드레드가 기다리고 있어요."""
st_012035_0140#0,"""A.P.238/4/15/11:00"""
