st_013000_0001#0,"""A.P.238/4/9/10:50"""
st_013000_0010#0,"""오, 새로운 도전자가 참가하는구나!<br>좋아 좋아, 더 모여라!<br>참가자는 많으면 많을수록 좋아!"""
st_013000_0020#0,"""무대는 나베리우스!<br>삼림에서 단숨에 달려 나가<br>스코어 어택 대결전!"""
st_013000_0030#0,"""지난번 다크 펄스 부활로<br>늘어난 다커를 몰아낼 수<br>있으니 일석이조다!"""
st_013000_0040#0,"""자네도 함께 소란을…피우도록<br>서로 고조시킬 상대를 골라 전장으로!<br>참가를 기다리겠다!"""
st_013000_0050#0,"""오자를 초대하기"""
st_013000_0060#0,"""마루를 초대하기"""
st_013000_0070#0,"""리사를 초대하기"""
st_013000_0080#0,"""다음"""
st_013000_0090#0,"""아핀을 초대하기"""
st_013000_0100#0,"""파티와 티아를 초대하기"""
st_013000_0110#0,"""아무도 초대하지 않고 가기"""
st_013000_0120#0,"""돌아가기"""
