st_012045_0005#0,"""【비통한 슈프레히콜】<br>仮テキスト"""
st_012045_0010#0,"""하드레드…"""
st_012045_0020#0,"""（비명）!"""
st_012045_0030#0,"""…괴로워하는 목소리.<br>솔직히 더는 듣고 있을 수가 없어요."""
st_012045_0040#0,"""하지만 마지막으로 말해 줘.<br>실험실에서 대체 무슨 일이<br>벌어지려 했는지…"""
st_012045_0050#0,"""뒤처리꾼으로는 부적합한 나한테<br>다음엔 어떤 임무가<br>주어질 예정이었던 건지…"""
st_012045_0060#0,"""…아니, 그건 아니야.<br>그것만으로 네가 화내진 않아…"""
st_012045_0070#0,"""그러니까 대답해 줘, 하드레드!"""
st_012045_0080#0,"""난…<br>난 무슨 짓을 당할 뻔했던 거야!?"""
st_012045_0090#0,"""……！"""
st_012045_0100#0,"""（포효）"""
st_012045_0110#0,"""정말, 너는 끝까지<br>비밀주의에 제멋대로고… 바보 같은 아이."""
st_012045_0120#0,"""A.P.238/4/15/11:20"""
